feature,importance
Party_id3_3. Republicans (including leaners),-1.2305864778824254
therm_RepParty,-0.8471390279198756
approve_president_economy_5. Disapprove strongly,-0.48680525246742057
therm_ChrFundament,-0.3468021797245335
approve_pres_2. Disapprove,-0.24979375121674058
religion_2. Catholic [Roman Catholic],-0.2027066141782726
therm_conservatives,-0.1629709436443571
Party_id7_5. Independent - Republican,-0.1355464044949788
have_healthInsurance_1. Yes,-0.13325155098297484
sex_orientation_1. Heterosexual or straight,-0.11648235336711146
"VCF9030c_1. Yes, contact by Republican party",-0.09977682372541297
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.06625269448474377
"VCF9030a_1. Yes, contact by major party",-0.0659205512187908
Party_id7_6. Weak Republican,-0.06332764185945798
VCF0886_2.   Same,-0.0603797824711666
