feature,importance
therm_Christians,0.11962229295828464
therm_Mislims,0.06047970067421592
therm_ChrFundament,-0.2706612685390632
therm_hispanics,0.04387552630074219
therm_RepParty,-0.4726051123716493
therm_DemParty,1.0712104384273846
therm_Whites,-0.19187589968988844
therm_liberals,0.6783416315426251
therm_conservatives,-0.06570864085439533
therm_Blacks,0.06886958238308524
Age,-0.018292147805313713
Year,0.9146209170933393
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,-0.5396173480801104
howOftenTrust_3. About half the time,-0.015170642051765552
howOftenTrust_4. Once in a while,0.3498050330865528
howOftenTrust_5. Never,0.14349394285738035
follow_political_info_1. Always,0.394205365605197
follow_political_info_2. Most of the time,-0.045756835521209856
follow_political_info_3. About half the time,0.04072579787720746
follow_political_info_4. Some of the time,-0.709318463256666
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_1. Yes,0.37346496705953003
bisexalFamilyorFriends_2. No,-0.37245388614915564
blackInfluence_Politics_1. Too much influence,-0.03141974796953409
blackInfluence_Politics_2. Just about the right amount,-0.35334639938455786
blackInfluence_Politics_3. Too little influence,0.5213068050662797
sex_orientation_1. Heterosexual or straight,-0.050433014636499796
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_1. It doesn't make a difference who is in power,-0.1451297399570561
powerDifference_unmatched category,0.03473489542215509
powerDifference_unmatched category,-0.017116763343642094
powerDifference_unmatched category,0.006366695296934721
powerDifference_5. It makes a big difference who is in power,-0.5071419069249911
votingMakedifference_1. Won't make a difference,-0.04728181298217237
votingMakedifference_unmatched category,0.12746429471765816
votingMakedifference_unmatched category,0.15989964865145928
votingMakedifference_unmatched category,-0.1674530213142878
votingMakedifference_5. Can make a big difference,-0.15018435546998365
satisfactionLife_1. Extremely satisfied,-1.2251383475702489
satisfactionLife_2. Very satisfied,0.3959934570367511
satisfactionLife_3. Moderately satisfied,-0.03394191807169568
satisfactionLife_4. Slightly satisfied,-0.16916614618732934
satisfactionLife_5. Not satisfied at all,0.31978688782685805
living_withFamily_1. Yes,0.12514826903411938
living_withFamily_2. No,-0.2941148319978164
satisfactionDemocracy_1. Very satisfied,-0.00976216656297318
satisfactionDemocracy_2. Fairly satisfied,0.3412584989272852
satisfactionDemocracy_3. Not very satisfied,-0.1355148876946577
satisfactionDemocracy_4. Not at all satisfied,0.01696972450242818
meetingCommuntySchool_1. Yes,0.45316286840674475
meetingCommuntySchool_2. No,-0.02644788298417259
workedWithcommunity_1. Yes,0.07982970588696323
workedWithcommunity_2. No,0.16176454361350445
have_healthInsurance_1. Yes,-0.019417841504339044
have_healthInsurance_2. No,-0.045061650855861404
authoritarian2_1. Obedience,0.04507853467154811
authoritarian2_2. Both (VOL),0.03993220076740043
authoritarian2_3. Self-reliance,0.026753988881690748
authoritarian4_1. Independence,0.5670956656113437
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,-0.49046118656481924
authoritarian1_1. Curiosity,-0.0494070023837032
authoritarian1_2. Both (VOL),-0.12556038924782464
authoritarian1_3. Good manners,0.18653279745125279
authoritarian3_1. Being considerate,-0.018765793346395006
authoritarian3_2. Both (VOL),0.7708190676009579
authoritarian3_3. Well behaved,-0.417601483656793
VCF0886_1.   Increased,-0.09253353512126386
VCF0886_2.   Same,0.254387844447803
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.4675029816840685
volunteer_1. Yes,-0.09466425629667878
volunteer_2. No,-0.02956245025814348
VCF0890_1.   Increased,0.3138644909957596
VCF0890_2.   Same,0.0
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.894610379604433
VCF9029_1. Close race,0.0
VCF9029_3. Win by quite a bit,0.020553916281800085
approve_president_economy_1. Approve strongly,-0.23318694393447145
approve_president_economy_2. Approve not strongly,0.023845580506193915
