feature,importance
therm_Christians,-0.10706744134003032
therm_Mislims,0.07875855453024837
therm_ChrFundament,-0.6053920689702172
therm_hispanics,0.6325057899246378
therm_RepParty,-1.433614341739092
therm_DemParty,1.4323868209765442
therm_Whites,-0.3106948718358134
therm_liberals,0.38918662116495345
therm_conservatives,-0.745192530453401
therm_Blacks,0.009104744333930364
Age,-0.11388826741714538
Year,0.01636129581129181
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,0.05454067027612819
howOftenTrust_3. About half the time,-0.5616259537314147
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,0.023107669626339734
follow_political_info_3. About half the time,-0.102540890062058
follow_political_info_4. Some of the time,-0.0340350329671694
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_1. Yes,-0.035857581659650604
bisexalFamilyorFriends_2. No,-0.005569112158422003
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,-0.34022611679966674
blackInfluence_Politics_3. Too little influence,0.018616689760374006
sex_orientation_1. Heterosexual or straight,-0.003206768292872311
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,-0.018952614281219294
powerDifference_unmatched category,0.02285124935837975
powerDifference_unmatched category,-0.12046242348455198
powerDifference_5. It makes a big difference who is in power,0.017292432662049127
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,-0.011163442554386739
votingMakedifference_unmatched category,-0.027257022230691604
votingMakedifference_unmatched category,-0.20272353096815826
votingMakedifference_5. Can make a big difference,0.33416689723242826
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,0.0
satisfactionLife_3. Moderately satisfied,0.03259843839471923
satisfactionLife_4. Slightly satisfied,-0.16937005248765263
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_1. Yes,-0.15352460564990772
living_withFamily_2. No,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,0.0
satisfactionDemocracy_3. Not very satisfied,0.0008876245468481348
satisfactionDemocracy_4. Not at all satisfied,-0.023687157999260213
meetingCommuntySchool_1. Yes,0.023298574214209743
meetingCommuntySchool_2. No,0.0360760329741205
workedWithcommunity_1. Yes,0.01684334394595139
workedWithcommunity_2. No,0.00014886391342224114
have_healthInsurance_1. Yes,-0.13332971218312145
have_healthInsurance_2. No,0.0
authoritarian2_1. Obedience,0.0
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.060778415295248786
authoritarian4_1. Independence,0.39019816247469635
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,-0.24381920928284934
authoritarian1_1. Curiosity,0.27619047043045447
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,-0.2655747111783076
authoritarian3_1. Being considerate,0.01687081422607377
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,0.010723998704867543
VCF0886_1.   Increased,0.023220804065970914
VCF0886_2.   Same,0.09554332469103888
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
volunteer_1. Yes,-0.015044684157170207
volunteer_2. No,0.45129953489269825
VCF0890_1.   Increased,0.04827039667833226
VCF0890_2.   Same,-0.03793800732645004
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.25563351778307464
VCF9029_1. Close race,0.09351320920463548
VCF9029_3. Win by quite a bit,-0.05906995211156864
approve_president_economy_1. Approve strongly,-0.05739395066299872
approve_president_economy_2. Approve not strongly,0.414738734397828
approve_president_economy_4. Disapprove not strongly,-0.012707213851275235
approve_president_economy_5. Disapprove strongly,0.30155796463766016
VCF9031_1. Yes,-0.10728996508212729
VCF9031_5. No,0.37468986266137766
"approve_pres_strength_1. Approve, strongly",0.1779877669558942
"approve_pres_strength_2. Approve, not strongly",-0.38292415714086514
"approve_pres_strength_3. Disapprove, not strongly",0.3502515547499858
"approve_pres_strength_4. Disapprove, strongly",0.03120844262594506
VCF9028_1. Democratic Pres. candidate,0.49757158117923017
VCF9028_2. Republican Pres. candidate,-0.8528861537854467
VCF9028_3. Other Pres. candidate,0.0
approve_pres_1. Approve,-0.4835249527874531
approve_pres_2. Disapprove,0.6137862267320561
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,0.579054796874938
ideology7_3. Slightly liberal,0.1944543973872513
"ideology7_4. Moderate, middle of the road",-0.20530277200996122
ideology7_5. Slightly conservative,-0.33264911264642105
ideology7_6. Conservative,-0.33725147327041816
ideology7_7. Extremely conservative,0.0
VCF0130_1. Every week (Except 1970: almost every week),-0.44666996681034865
VCF0130_2. Almost every week (no cases in 1970),0.3971395336035824
VCF0130_3. Once or twice a month,0.0001673810719698978
VCF0130_4. A few times a year,-0.3650417546439294
VCF0130_5. Never (1990 and later: 'No' in filter),0.021401273954759933
VCF0130_7. No religious preference (1970-1988),-0.04398867361239882
Will_PresElectionClose_1. Will win by quite a bit,0.18437742766347381
Will_PresElectionClose_2. Close race,0.08410794175941591
"VCF9030c_1. Yes, contact by Republican party",0.030700516810411478
VCF9030c_2. No contact by Republican party,-0.05969170435792254
"VCF9030b_1. Yes, contact by Democratic party",-0.03492592186246772
VCF9030b_2. No contact by Democratic party,0.06635688463116297
"VCF9030a_1. Yes, contact by major party",0.0
VCF9030a_2. No contact by major party,0.0
"VCF9030_1. Yes, contact: Democratic party",-0.013708986882239921
"VCF9030_2. Yes, contact: Republican party",0.14256396575668775
"VCF9030_3. Yes, contact: both major parties",-0.009356851734312032
"VCF9030_4. Yes, contact: other",-0.052169989900652025
VCF9030_7. No contact,0.028561952796057517
VCF0720_1. No,-0.11988400381149836
VCF0720_2. Yes,0.03566564096691447
Family_income_1. 0 to 16 percentile,0.02129130859838588
Family_income_2. 17 to 33 percentile,0.0
Family_income_3. 34 to 67 percentile,-0.1146136022035034
Family_income_4. 68 to 95 percentile,-0.00035159644538661493
Family_income_5. 96 to 100 percentile,-0.08558700446346368
Interest_elections_1. Not much interested,0.2995232261783411
Interest_elections_2. Somewhat interested,-0.10706690380153579
Interest_elections_3. Very much interested,-0.1489624923909773
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",0.17647018732161895
VCF0721_2. Yes (includes 'tax check-off' in 1976),-0.6349745360397432
VCF0719_1. No,0.14671041861787165
VCF0719_2. Yes,-0.229630683952547
VCF0718_1. No,0.0
VCF0718_2. Yes,-0.10456171872861302
Party_id3_1. Democrats (including leaners),1.4947600462413237
Party_id3_2. Independents,0.0
Party_id3_3. Republicans (including leaners),-0.664986776209882
Party_id7_1. Strong Democrat,1.486757673074584
Party_id7_2. Weak Democrat,-0.4431578788296656
Party_id7_3. Independent - Democrat,0.4470964338758933
Party_id7_4. Independent - Independent,0.0
Party_id7_5. Independent - Republican,-0.04760915120150789
Party_id7_6. Weak Republican,0.0
Party_id7_7. Strong Republican,-0.24085023776441233
education6_1. 8 grades or less ('grade school'),0.0042434105835172315
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",-0.04239043247796779
"education6_3. 12 grades, diploma or equivalency",0.1768290483682368
"education6_4. 12 grades, diploma or equivalency plus non-academic",-0.029361809352432783
"education6_5. Some college, no degree; junior/community college",0.0
education6_6. BA level degrees; advanced degrees incl. LLB,-0.030807281404789732
education7_1. 8 grades or less ('grade school'),0.0042434105835172315
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",-0.04239043247796779
"education7_3. 12 grades, diploma or equivalency",0.1768290483682368
"education7_4. 12 grades, diploma or equivalency plus non-academic",-0.029361809352432783
"education7_5. Some college, no degree; junior/community college",0.0
education7_6. BA level degrees,-0.25200177922537403
education7_7. Advanced degrees incl. LLB,0.058838605289385115
VCF0717_1. No,-0.13382953779322407
VCF0717_2. Yes,0.019961635673311773
"region_4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,",0.0
South_2. Nonsouth,0.0
Education4_1. Grade school or less (0-8 grades); 2020: less than high school credential,0.08148843086802926
"Education4_2. High school (12 grades or fewer, incl. non-college",-0.004442156427595733
Education4_3. Some college (13 grades or more but no degree;,-0.031717640212634866
Education4_4. College or advanced degree (no cases 1948),-0.030807281404789732
Race3_1. White non-Hispanic,0.0
Race3_2. Black non-Hispanic,0.0
Race3_3. Other,0.0
Race4_1. White non-Hispanic,0.0
Race4_2. Black non-Hispanic,0.0
Race4_3. Hispanic,0.0
