feature,importance
therm_RepParty,-1.433614341739092
VCF9028_2. Republican Pres. candidate,-0.8528861537854467
therm_conservatives,-0.745192530453401
Party_id3_3. Republicans (including leaners),-0.664986776209882
VCF0721_2. Yes (includes 'tax check-off' in 1976),-0.6349745360397432
therm_ChrFundament,-0.6053920689702172
howOftenTrust_3. About half the time,-0.5616259537314147
approve_pres_1. Approve,-0.4835249527874531
VCF0130_1. Every week (Except 1970: almost every week),-0.44666996681034865
Party_id7_2. Weak Democrat,-0.4431578788296656
"approve_pres_strength_2. Approve, not strongly",-0.38292415714086514
VCF0130_4. A few times a year,-0.3650417546439294
blackInfluence_Politics_2. Just about the right amount,-0.34022611679966674
ideology7_6. Conservative,-0.33725147327041816
ideology7_5. Slightly conservative,-0.33264911264642105
