feature,importance
therm_RepParty,-1.4272144932333535
VCF0130_1. Every week (Except 1970: almost every week),-0.7145929990661007
Party_id3_3. Republicans (including leaners),-0.7009656787471679
Interest_elections_3. Very much interested,-0.6140236441184665
Party_id7_7. Strong Republican,-0.5912706236188974
Party_id7_3. Independent - Democrat,-0.5614982194848084
ideology7_5. Slightly conservative,-0.5439835822036672
therm_Christians,-0.44502519450269495
therm_conservatives,-0.3405306733690346
therm_Blacks,-0.319276929629058
authoritarian4_2. Both (VOL),-0.31483109173855867
VCF0720_1. No,-0.29926206495192753
VCF0717_2. Yes,-0.29668929581160597
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.2792393255699297
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.2789661707023484
