feature,importance
therm_Christians,-0.1410564697134853
therm_Mislims,0.43504654219010386
therm_ChrFundament,-0.16569341210613758
therm_hispanics,0.3893763944508746
therm_RepParty,-0.8892378834554859
therm_DemParty,1.746316644579208
therm_Whites,-0.6767805334579735
therm_liberals,0.23859946774181368
therm_conservatives,-0.4933808729509145
therm_Blacks,-0.681945762169575
Age,-0.05917654117241855
Year,0.17759484242981566
howOftenTrust_Missing,0.0
howOftenTrust_2. Most of the time,0.06575956313508986
howOftenTrust_3. About half the time,0.0
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_Missing,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,-0.2216345184293397
follow_political_info_3. About half the time,0.006809471747028363
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_Missing,-0.10780775333782329
bisexalFamilyorFriends_1. Yes,0.0
bisexalFamilyorFriends_2. No,0.10652040773998032
blackInfluence_Politics_Missing,0.0
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,0.008399225867053581
blackInfluence_Politics_3. Too little influence,0.04277248702333207
sex_orientation_Missing,-0.10780775333782329
sex_orientation_1. Heterosexual or straight,0.038889944925948744
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
powerDifference_Missing,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.02538666227082644
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,0.0
votingMakedifference_Missing,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_5. Can make a big difference,0.0
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,0.0
satisfactionLife_3. Moderately satisfied,0.017119956148384796
satisfactionLife_4. Slightly satisfied,-0.04563612589567494
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.028077732051501065
living_withFamily_2. No,0.0
satisfactionDemocracy_Missing,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,0.0
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,0.0055934676133493014
meetingCommuntySchool_2. No,0.0
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,0.05417040150460103
workedWithcommunity_2. No,-0.030903287136049746
have_healthInsurance_Missing,-0.024775066242231285
have_healthInsurance_1. Yes,0.0
have_healthInsurance_2. No,0.0
authoritarian2_Missing,-0.0004322079761336573
authoritarian2_1. Obedience,0.15101416625204475
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,-0.01396711147945702
authoritarian4_Missing,-0.0004322079761336573
authoritarian4_1. Independence,0.0
authoritarian4_3. Respect for elders,0.0
authoritarian1_Missing,-0.0004322079761336573
authoritarian1_1. Curiosity,-0.09660141000589087
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,0.09105985976668614
authoritarian3_Missing,-6.270490564946182e-05
authoritarian3_1. Being considerate,-0.042691039695197074
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,0.04226141228204909
VCF0886_Missing,0.0
VCF0886_1.   Increased,0.0
VCF0886_2.   Same,0.0
