feature,importance
Party_id3_3. Republicans (including leaners),-1.0449366240699378
therm_RepParty,-0.8892378834554859
therm_Blacks,-0.681945762169575
therm_Whites,-0.6767805334579735
approve_president_economy_2. Approve not strongly,-0.6088632218718266
therm_conservatives,-0.4933808729509145
VCF0130_1. Every week (Except 1970: almost every week),-0.3807793696232903
religion_1. Protestant,-0.34494700385699917
"approve_pres_strength_2. Approve, not strongly",-0.2898838608433415
VCF9031_1. Yes,-0.2619309707859122
Party_id7_7. Strong Republican,-0.25868271019640354
VCF0890_2.   Same,-0.24971584237601135
Interest_elections_1. Not much interested,-0.23282621935046297
follow_political_info_2. Most of the time,-0.2216345184293397
Race3_3. Other,-0.20553100711193711
