feature,importance
therm_Christians,0.7848307999221281
therm_Mislims,-0.2083775141652003
therm_ChrFundament,-0.03319514715544963
therm_hispanics,0.2851212263440898
therm_RepParty,-1.121139325370699
therm_DemParty,0.6733130529152015
therm_Whites,-0.4995189721118489
therm_liberals,0.22993093482659624
therm_conservatives,-0.724883185449801
therm_Blacks,0.07679458918484643
Age,0.06245225110041177
Year,-0.05970096487801563
howOftenTrust_Missing,0.0
howOftenTrust_2. Most of the time,0.0
howOftenTrust_3. About half the time,0.0
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_Missing,0.0
follow_political_info_2. Most of the time,0.0
follow_political_info_3. About half the time,0.0
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_Missing,0.0
bisexalFamilyorFriends_1. Yes,0.0
bisexalFamilyorFriends_2. No,0.0
blackInfluence_Politics_Missing,0.0
blackInfluence_Politics_2. Just about the right amount,0.0
blackInfluence_Politics_3. Too little influence,0.0
sex_orientation_Missing,0.0
sex_orientation_1. Heterosexual or straight,0.0
sex_orientation_2. Bisexual,0.0
powerDifference_Missing,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,0.0
votingMakedifference_Missing,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_5. Can make a big difference,-0.03515758594286803
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,0.0
satisfactionLife_3. Moderately satisfied,0.0
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.0
satisfactionDemocracy_Missing,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,0.0
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,0.0
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,0.0
have_healthInsurance_Missing,0.0
have_healthInsurance_1. Yes,-0.1603121346431285
have_healthInsurance_2. No,0.016736745032307
authoritarian2_Missing,-0.011804813401771008
authoritarian2_1. Obedience,0.17351884380727034
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.0
authoritarian4_Missing,-0.011804813401771008
authoritarian4_1. Independence,0.0
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.05214371146782526
authoritarian1_Missing,-0.011804813401771008
authoritarian1_1. Curiosity,0.0
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,0.01498031001458014
authoritarian3_Missing,-0.011804813401771008
authoritarian3_1. Being considerate,0.02946903552779056
