feature,importance
approve_pres_2. Disapprove,1.4850926002612952
Year,1.2178302404693522
Party_id3_1. Democrats (including leaners),1.0228000074783417
therm_DemParty,0.9191260189557203
Party_id7_1. Strong Democrat,0.8962480884067248
"approve_pres_strength_2. Approve, not strongly",0.8376982298555143
"approve_pres_strength_1. Approve, strongly",0.7824849138778123
sex_orientation_3. Homosexual or gay (or lesbian),0.7736363612530013
religion_3. Jewish,0.7387259816498941
blackInfluence_Politics_3. Too little influence,0.6531680732998995
VCF9028_1. Democratic Pres. candidate,0.5716565359020029
Gender_3. Other (2016),0.5487673481661585
follow_political_info_5. Never,0.503963945116328
therm_liberals,0.478524437916089
VCF0886_1.   Increased,0.35909798026360895
