feature,importance
"approve_pres_strength_4. Disapprove, strongly",1.6050819412892956
therm_liberals,1.2369987374091294
approve_pres_2. Disapprove,1.005259643756332
approve_president_economy_5. Disapprove strongly,0.9032500244237973
therm_DemParty,0.8506583452411206
satisfactionDemocracy_1. Very satisfied,0.742065431106157
powerDifference_unmatched category,0.5584003247882862
Gender_1. Male,0.5027790065999228
blackInfluence_Politics_3. Too little influence,0.45196142189171457
Party_id3_1. Democrats (including leaners),0.42127013466236163
votingMakedifference_5. Can make a big difference,0.4134806267576162
VCF9029_1. Close race,0.4124165880028629
approve_president_economy_4. Disapprove not strongly,0.3865951496044122
Family_income_2. 17 to 33 percentile,0.38468191677479685
ideology7_3. Slightly liberal,0.3841578916742193
