,N_predict_vote_D,N_predict_vote_R,N_voter_vote_D,N_voter_vote_R,N_total_vote_D,N_total_vote_R,ratio_total_vote_D,ratio_total_vote_R
all,562,477,3537,2582,4099,3059,0.573,0.427
NY,31,24,190,98,221,122,0.644,0.356
OH,15,24,117,121,132,145,0.477,0.523
ID,4,4,30,25,34,29,0.54,0.46
MI,18,13,139,83,157,96,0.621,0.379
GA,21,14,89,84,110,98,0.529,0.471
NE,3,6,22,20,25,26,0.49,0.51
MA,9,10,129,38,138,48,0.742,0.258
KY,14,13,38,54,52,67,0.437,0.563
MO,5,12,66,63,71,75,0.486,0.514
NC,6,16,113,112,119,128,0.482,0.518
AR,6,5,17,29,23,34,0.404,0.596
MN,6,8,88,58,94,66,0.588,0.412
TN,12,17,58,81,70,98,0.417,0.583
KS,6,11,35,36,41,47,0.466,0.534
WI,12,16,79,74,91,90,0.503,0.497
IN,12,16,72,72,84,88,0.488,0.512
CT,7,0,43,28,50,28,0.641,0.359
NJ,9,4,99,61,108,65,0.624,0.376
AL,4,10,45,48,49,58,0.458,0.542
OR,2,4,69,24,71,28,0.717,0.283
SD,1,4,6,6,7,10,0.412,0.588
LA,11,6,32,42,43,48,0.473,0.527
DC,1,0,32,3,33,3,0.917,0.083
CA,69,23,407,173,476,196,0.708,0.292
CO,14,4,82,54,96,58,0.623,0.377
NM,5,4,27,17,32,21,0.604,0.396
IL,20,21,165,89,185,110,0.627,0.373
PA,24,20,151,114,175,134,0.566,0.434
TX,72,49,204,198,276,247,0.528,0.472
SC,17,7,44,45,61,52,0.54,0.46
MS,8,8,28,22,36,30,0.545,0.455
IA,5,3,29,24,34,27,0.557,0.443
MD,10,5,109,39,119,44,0.73,0.27
WA,8,7,118,42,126,49,0.72,0.28
VA,9,17,96,58,105,75,0.583,0.417
FL,27,26,194,183,221,209,0.514,0.486
ME,0,4,16,9,16,13,0.552,0.448
UT,9,6,33,32,42,38,0.525,0.475
OK,12,8,30,48,42,56,0.429,0.571
AZ,11,10,61,75,72,85,0.459,0.541
WV,5,6,12,18,17,24,0.415,0.585
WY,1,2,5,3,6,5,0.545,0.455
DE,3,1,9,4,12,5,0.706,0.294
NH,5,0,27,10,32,10,0.762,0.238
HI,2,2,16,6,18,8,0.692,0.308
NV,5,5,27,16,32,21,0.604,0.396
ND,1,1,5,14,6,15,0.286,0.714
RI,3,0,7,9,10,9,0.526,0.474
VT,0,0,17,5,17,5,0.773,0.227
MT,2,1,8,10,10,11,0.476,0.524
AK,0,0,2,5,2,5,0.286,0.714
