period,4-year-black+white_white,4-year-black+white_black
"1950-
1953",4.92%,14.81%
"1954-
1957",4.11%,19.61%
"1958-
1961",2.58%,14.29%
"1962-
1965",5.79%,13.59%
"1966-
1969",3.15%,15.46%
"1970-
1973",2.98%,19.51%
"1974-
1977",5.00%,13.76%
"1978-
1981",5.65%,18.75%
"1982-
1985",3.66%,20.14%
"1986-
1989",6.08%,15.49%
"1990-
1993",5.18%,13.78%
"1994-
1997",7.35%,20.17%
"1998-
2001",5.82%,13.68%
"2002-
2005",4.29%,12.80%
"2006-
2009",5.90%,11.32%
"2010-
2013",4.32%,9.54%
"2014-
2017",3.73%,15.15%
"2018-
2021",2.38%,10.67%
