period,4-year-black+white_white,4-year-black+white_black
"1950-
1953",4.01%,1.85%
"1954-
1957",6.17%,11.76%
"1958-
1961",2.97%,0.00%
"1962-
1965",2.74%,0.00%
"1966-
1969",5.37%,1.03%
"1970-
1973",8.39%,7.93%
"1974-
1977",5.54%,1.83%
"1978-
1981",5.22%,2.68%
"1982-
1985",8.46%,1.39%
"1986-
1989",7.65%,6.34%
"1990-
1993",3.82%,3.06%
"1994-
1997",3.46%,0.00%
"1998-
2001",6.04%,1.71%
"2002-
2005",4.29%,4.00%
"2006-
2009",3.77%,0.24%
"2010-
2013",4.19%,0.64%
"2014-
2017",5.68%,0.38%
"2018-
2021",4.58%,2.57%
