feature,importance
Party_id3_1. Democrats (including leaners),1.3950807129423561
therm_liberals,0.878768756182026
VCF0890_1.   Increased,0.8098113321660971
authoritarian2_1. Obedience,0.7150544461643309
VCF0886_2.   Same,0.6081867025820632
living_withFamily_1. Yes,0.5449596233705567
authoritarian4_1. Independence,0.5411036456487923
VCF0130_2. Almost every week (no cases in 1970),0.5324115497823962
Interest_elections_1. Not much interested,0.5168733189204693
Party_id7_1. Strong Democrat,0.5070996125524673
therm_DemParty,0.47746057304813067
therm_Mislims,0.4608630132105157
VCF9028_1. Democratic Pres. candidate,0.4414189024519378
VCF0720_1. No,0.42172013472010195
"ideology7_4. Moderate, middle of the road",0.41775011491230013
