feature,importance
therm_hispanics,-0.47002188611647944
VCF9028_2. Republican Pres. candidate,-0.3680988718755234
therm_RepParty,-0.33682900343884137
VCF9029_1. Close race,-0.3201647333491303
therm_Whites,-0.23166287473490382
Age,-0.11955542244557596
therm_ChrFundament,-0.09970610536457801
Party_id7_7. Strong Republican,-0.07385229558938912
Education4_3. Some college (13 grades or more but no degree;,-0.06479257951147324
powerDifference_5. It makes a big difference who is in power,-0.06402373893950333
satisfactionLife_3. Moderately satisfied,-0.02702482977316036
therm_conservatives,-0.02044522657970508
VCF0130_5. Never (1990 and later: 'No' in filter),-0.02025281735488894
follow_political_info_2. Most of the time,-0.019494358528192347
authoritarian4_3. Respect for elders,-0.012737940633269676
