feature,importance
Party_id7_1. Strong Democrat,1.6291644423568208
therm_DemParty,1.317131037480787
approve_president_economy_2. Approve not strongly,0.9859109272807695
blackInfluence_Politics_3. Too little influence,0.6576769850713651
therm_Blacks,0.6223205814643576
have_healthInsurance_2. No,0.4982268426824416
authoritarian3_3. Well behaved,0.4708847119972178
Party_id3_1. Democrats (including leaners),0.4574432910219407
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.4500307963458794
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.4500307963458794
ideology7_3. Slightly liberal,0.42884346079353897
VCF9028_1. Democratic Pres. candidate,0.4062313819813066
therm_liberals,0.3634324641399195
authoritarian1_1. Curiosity,0.36218727038196186
approve_pres_2. Disapprove,0.3478584588677499
