feature,importance
therm_Christians,-0.02204150721406769
therm_Mislims,0.037489375373520345
therm_ChrFundament,-0.1450734700343152
therm_hispanics,0.13282168142373646
therm_RepParty,-0.6702477400983748
therm_DemParty,1.0184460403029207
therm_Whites,-0.08681381459784789
therm_liberals,1.1074853328330752
therm_conservatives,-0.6497616061317155
therm_Blacks,0.2787516042594136
Age,0.039933162646684076
howOftenTrust_2. Most of the time,0.0
howOftenTrust_3. About half the time,0.0
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,0.0803094006497572
follow_political_info_3. About half the time,0.031314191697155574
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_1. Yes,0.06360606738701305
bisexalFamilyorFriends_2. No,-0.025322266977189374
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,-0.16621273353636484
blackInfluence_Politics_3. Too little influence,0.4930890379982603
sex_orientation_1. Heterosexual or straight,0.03812176937819299
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,-0.07710378215793398
powerDifference_5. It makes a big difference who is in power,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_5. Can make a big difference,0.0
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,0.0
satisfactionLife_3. Moderately satisfied,0.0
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_1. Yes,0.004043371123411801
living_withFamily_2. No,0.01738417718289384
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,0.0
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,0.0
workedWithcommunity_1. Yes,0.0755842406004393
workedWithcommunity_2. No,-0.018631549741843077
have_healthInsurance_1. Yes,0.23961780457383322
have_healthInsurance_2. No,0.0
authoritarian2_1. Obedience,-0.14832329301044597
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.6574473312876462
authoritarian4_1. Independence,0.2014050392764875
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,-0.03230030221243284
authoritarian1_1. Curiosity,0.04326846327609339
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,0.0
authoritarian3_1. Being considerate,0.0
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,0.0
VCF0886_1.   Increased,0.0
VCF0886_2.   Same,0.0
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
volunteer_1. Yes,0.0
volunteer_2. No,0.08264283746519759
VCF0890_1.   Increased,0.0
VCF0890_2.   Same,0.0
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF9029_1. Close race,0.3231389194598703
VCF9029_3. Win by quite a bit,-0.0252726812085318
approve_president_economy_1. Approve strongly,0.0
approve_president_economy_2. Approve not strongly,0.030969464400791246
approve_president_economy_4. Disapprove not strongly,0.0
approve_president_economy_5. Disapprove strongly,0.0
VCF9031_1. Yes,0.0
VCF9031_5. No,0.0
"approve_pres_strength_1. Approve, strongly",0.0
"approve_pres_strength_2. Approve, not strongly",0.0
"approve_pres_strength_3. Disapprove, not strongly",0.0
"approve_pres_strength_4. Disapprove, strongly",0.3741384941106426
VCF9028_1. Democratic Pres. candidate,-0.012793144846933871
VCF9028_2. Republican Pres. candidate,0.1363925762038206
approve_pres_1. Approve,-0.010694177894883293
approve_pres_2. Disapprove,0.0
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,0.0
ideology7_3. Slightly liberal,0.0
"ideology7_4. Moderate, middle of the road",0.0
ideology7_5. Slightly conservative,0.0
ideology7_6. Conservative,0.0
ideology7_7. Extremely conservative,0.0
VCF0130_1. Every week (Except 1970: almost every week),0.0
VCF0130_2. Almost every week (no cases in 1970),0.0035881324584391243
VCF0130_3. Once or twice a month,0.0
VCF0130_4. A few times a year,0.0
VCF0130_5. Never (1990 and later: 'No' in filter),0.07122074789185846
Will_PresElectionClose_1. Will win by quite a bit,-0.020692729631598655
Will_PresElectionClose_2. Close race,0.0
"VCF9030b_1. Yes, contact by Democratic party",0.16124374270912817
VCF9030b_2. No contact by Democratic party,-0.1851521250486594
"VCF9030c_1. Yes, contact by Republican party",0.0
VCF9030c_2. No contact by Republican party,-0.02295890193451968
"VCF9030a_1. Yes, contact by major party",0.23348590241179004
VCF9030a_2. No contact by major party,-0.10534249516042267
"VCF9030_1. Yes, contact: Democratic party",0.02617255803272714
"VCF9030_2. Yes, contact: Republican party",0.0
"VCF9030_3. Yes, contact: both major parties",0.0
"VCF9030_4. Yes, contact: other",0.0
VCF9030_7. No contact,-0.08631827534517936
VCF0720_1. No,-0.01483803141595034
VCF0720_2. Yes,0.0
Family_income_1. 0 to 16 percentile,0.002856379184365649
Family_income_2. 17 to 33 percentile,0.05724672344412035
Family_income_3. 34 to 67 percentile,-0.6436639962024966
Family_income_4. 68 to 95 percentile,-0.03560752886406523
Family_income_5. 96 to 100 percentile,0.0
Interest_elections_1. Not much interested,-0.20251403035575302
Interest_elections_2. Somewhat interested,0.0
Interest_elections_3. Very much interested,0.0
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.24777882434819257
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.18150849840192657
VCF0719_1. No,-0.007572837914399892
VCF0719_2. Yes,0.0
VCF0718_1. No,-0.08736310157534498
VCF0718_2. Yes,0.05530369595335882
Party_id3_1. Democrats (including leaners),1.114301199752095
Party_id3_2. Independents,-0.2319328327101146
Party_id3_3. Republicans (including leaners),-0.6646236816676723
Party_id7_1. Strong Democrat,0.5570680800289398
Party_id7_2. Weak Democrat,0.006632158584299173
Party_id7_3. Independent - Democrat,0.014806127188051901
Party_id7_4. Independent - Independent,-0.2319328327101146
Party_id7_5. Independent - Republican,-0.03891322590234188
Party_id7_6. Weak Republican,0.0
Party_id7_7. Strong Republican,-0.21840743851086528
education6_1. 8 grades or less ('grade school'),0.0
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.0
"education6_3. 12 grades, diploma or equivalency",0.0005921124718138706
"education6_4. 12 grades, diploma or equivalency plus non-academic",0.0
"education6_5. Some college, no degree; junior/community college",-0.0015539812990760797
education6_6. BA level degrees; advanced degrees incl. LLB,0.0
education7_1. 8 grades or less ('grade school'),0.0
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.0
"education7_3. 12 grades, diploma or equivalency",0.0005921124718138706
"education7_4. 12 grades, diploma or equivalency plus non-academic",0.0
"education7_5. Some college, no degree; junior/community college",-0.0015539812990760797
education7_6. BA level degrees,-0.1773172293313987
education7_7. Advanced degrees incl. LLB,0.059578875855670475
VCF0717_1. No,0.2658789939853349
VCF0717_2. Yes,-0.33801006880190565
South_2. Nonsouth,0.0
"region_4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,",0.0
Education4_1. Grade school or less (0-8 grades); 2020: less than high school credential,0.0
"Education4_2. High school (12 grades or fewer, incl. non-college",0.0
Education4_3. Some college (13 grades or more but no degree;,-0.044050524012087894
Education4_4. College or advanced degree (no cases 1948),0.0
Race4_1. White non-Hispanic,0.0
Race4_3. Hispanic,0.0
"Race4_4. Other or multiple races, non-Hispanic",0.0
Race3_1. White non-Hispanic,0.0
Race3_3. Other,-0.05642380487979169
Race7_1. White non-Hispanic (1948-2012),0.0
Race7_4. American Indian or Alaska Native non-Hispanic (1966-2012),0.0
Race7_5. Hispanic (1966-2012),0.0
"Race7_6. Other or multiple races, non-Hispanic (1968-2012)",0.0
religion_1. Protestant,-0.0002515603805950264
religion_2. Catholic [Roman Catholic],0.11102717626962581
religion_3. Jewish,0.0
Gender_1. Male,0.020209524165957664
Gender_2. Female,-0.17740357844372898
