feature,importance
therm_DemParty,1.356607133752884
Party_id3_1. Democrats (including leaners),1.3136590716713568
Party_id7_1. Strong Democrat,0.9452093291042368
therm_liberals,0.8290221393028417
VCF0130_4. A few times a year,0.6869639302762937
therm_Mislims,0.5923366534773116
"approve_pres_strength_4. Disapprove, strongly",0.5552856959834553
VCF0130_3. Once or twice a month,0.4274691640031484
ideology7_3. Slightly liberal,0.3928974702563281
howOftenTrust_3. About half the time,0.3891506382886075
"education6_3. 12 grades, diploma or equivalency",0.3718699672771856
"education7_3. 12 grades, diploma or equivalency",0.3718699672771856
have_healthInsurance_1. Yes,0.3645821181797892
VCF0890_1.   Increased,0.3558747227625997
Age,0.34755918586956064
