feature,importance
therm_RepParty,-1.3879890927917136
Party_id3_3. Republicans (including leaners),-1.3099064369404088
VCF9028_2. Republican Pres. candidate,-1.0525148918318812
VCF0890_3.   Decreased (before 2012: or cut out entirely),-1.0473727301543263
therm_conservatives,-0.8438560740721435
Party_id7_7. Strong Republican,-0.8263225921454692
Interest_elections_1. Not much interested,-0.7568128588891083
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.6957401788057844
religion_1. Protestant,-0.6110245738130284
VCF0717_1. No,-0.4935325933504605
approve_pres_1. Approve,-0.452306611254197
VCF9031_1. Yes,-0.4004931989974153
approve_president_economy_4. Disapprove not strongly,-0.3694702907714449
workedWithcommunity_1. Yes,-0.36210864818244015
VCF0718_2. Yes,-0.34754195482664463
