feature,importance
therm_Christians,-0.01777226132075637
therm_Mislims,0.6490130786770368
therm_ChrFundament,-0.11727236663622183
therm_hispanics,0.030865070735362442
therm_RepParty,-0.9159839592380449
therm_DemParty,0.8667315622477239
therm_Whites,0.0
therm_liberals,0.4389811031680365
therm_conservatives,-0.1347769820133621
therm_Blacks,0.0
Age,-0.04573544499601449
howOftenTrust_2. Most of the time,0.07029850372385751
howOftenTrust_3. About half the time,-0.1369490821722874
howOftenTrust_4. Once in a while,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,0.07963316158235992
follow_political_info_3. About half the time,-0.027940098416702853
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_1. Yes,0.0
bisexalFamilyorFriends_2. No,-0.1396092729629403
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,-0.11361071591322276
blackInfluence_Politics_3. Too little influence,0.4342243233078672
sex_orientation_1. Heterosexual or straight,-0.0550111143568507
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,-0.06174053196140501
votingMakedifference_unmatched category,0.027110479715661957
votingMakedifference_5. Can make a big difference,0.0
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,0.0
satisfactionLife_3. Moderately satisfied,0.0
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_1. Yes,-0.0011787879372131436
living_withFamily_2. No,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,-0.10911683822745318
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_1. Yes,-0.02898093687513929
meetingCommuntySchool_2. No,0.024222013308508927
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,-0.011891985681427592
have_healthInsurance_1. Yes,0.005357324294990675
have_healthInsurance_2. No,-0.038354163145224725
authoritarian2_1. Obedience,-0.0223175361798389
authoritarian2_3. Self-reliance,0.008955815100978598
authoritarian4_1. Independence,0.02641231752931717
authoritarian4_3. Respect for elders,-0.01792635048790664
authoritarian1_1. Curiosity,-0.013197139532745743
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,0.0
authoritarian3_1. Being considerate,0.0
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,-0.00842026243416644
