feature,importance
therm_liberals,0.9865299372810779
Party_id3_1. Democrats (including leaners),0.883013006807311
therm_DemParty,0.8318410735115223
Age,0.31486341625131187
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.13671754890661503
"approve_pres_strength_4. Disapprove, strongly",0.13343942553451527
approve_president_economy_5. Disapprove strongly,0.09203167851963281
Party_id7_1. Strong Democrat,0.08310589210770661
therm_Mislims,0.07124461548060672
religion_2. Catholic [Roman Catholic],0.07057069721315348
therm_Whites,0.056903688019683776
VCF0717_2. Yes,0.036026328142119854
Family_income_2. 17 to 33 percentile,0.026847682401550194
"VCF9030_3. Yes, contact: both major parties",0.021715483335348916
approve_pres_2. Disapprove,0.017273235299245775
