feature,importance
therm_DemParty,1.2431294458089255
VCF0886_1.   Increased,0.9055930262595933
Party_id3_1. Democrats (including leaners),0.8114668977697737
blackInfluence_Politics_3. Too little influence,0.796416351290682
therm_liberals,0.49626150130520114
powerDifference_unmatched category,0.47158173196574643
authoritarian2_3. Self-reliance,0.2960527220102069
therm_Mislims,0.28799888172556554
Family_income_3. 34 to 67 percentile,0.2581112972092091
approve_president_economy_2. Approve not strongly,0.24019549811350954
therm_hispanics,0.17104917168488237
Party_id7_1. Strong Democrat,0.17048460112830433
Interest_elections_3. Very much interested,0.13952191539867545
Party_id7_2. Weak Democrat,0.11701356288618667
VCF9028_1. Democratic Pres. candidate,0.09658818914182467
