feature,importance
Party_id3_1. Democrats (including leaners),1.3894523568878487
approve_pres_2. Disapprove,1.0034148822649067
"approve_pres_strength_2. Approve, not strongly",0.9417366952153341
Party_id7_1. Strong Democrat,0.9299159459394908
VCF9028_1. Democratic Pres. candidate,0.8781305207500312
follow_political_info_1. Always,0.8344568154976539
living_withFamily_2. No,0.7206384916751244
therm_DemParty,0.6632537745008644
sex_orientation_3. Homosexual or gay (or lesbian),0.6322641069629779
VCF0890_1.   Increased,0.5555520095467509
blackInfluence_Politics_3. Too little influence,0.5354150703037417
satisfactionLife_1. Extremely satisfied,0.5204731779081093
ideology7_3. Slightly liberal,0.5191155348767472
Race7_2. Black non-Hispanic (1948-2012),0.5190478275066518
Race4_2. Black non-Hispanic,0.5190478275066518
