feature,importance
therm_liberals,1.34106170724513
therm_DemParty,1.2027967249985947
Party_id3_1. Democrats (including leaners),1.0228531015222786
Party_id7_1. Strong Democrat,0.8579821331020996
VCF9028_1. Democratic Pres. candidate,0.746278092082328
authoritarian1_1. Curiosity,0.676769000438487
Race4_2. Black non-Hispanic,0.4688999120023376
Race7_2. Black non-Hispanic (1948-2012),0.4688999120023376
Race3_2. Black non-Hispanic,0.4688999120023376
Will_PresElectionClose_2. Close race,0.4378342775424063
approve_president_economy_4. Disapprove not strongly,0.4266816587069129
VCF9030a_2. No contact by major party,0.4165869594329453
VCF9030_7. No contact,0.4104972613773407
blackInfluence_Politics_3. Too little influence,0.34714777233034155
Interest_elections_2. Somewhat interested,0.33481913990571666
