feature,importance
therm_RepParty,-0.609793258342536
therm_conservatives,-0.5867333412118565
therm_ChrFundament,-0.26132604372955387
therm_Christians,-0.2209207875368878
bisexalFamilyorFriends_2. No,-0.1538388738539191
therm_Whites,-0.13317071421345522
"education6_3. 12 grades, diploma or equivalency",-0.07627758716063418
"education7_3. 12 grades, diploma or equivalency",-0.07627758716063418
"Education4_2. High school (12 grades or fewer, incl. non-college",-0.07627758716063418
Party_id3_3. Republicans (including leaners),-0.06463604872083892
blackInfluence_Politics_2. Just about the right amount,-0.046079683510174003
therm_Mislims,-0.04440047542542387
volunteer_1. Yes,-0.03334018669762952
authoritarian1_3. Good manners,-0.02326022732648476
VCF0717_1. No,-0.018111088431966575
