feature,importance
therm_Christians,-0.13911039846337236
therm_Mislims,0.444512938125042
therm_ChrFundament,-0.16227856028183768
therm_hispanics,0.3987622991116936
therm_RepParty,-0.8780155391435924
therm_DemParty,1.7484345312889886
therm_Whites,-0.682074937650739
therm_liberals,0.23194482641942588
therm_conservatives,-0.4982380487777774
therm_Blacks,-0.6817545887336276
Age,-0.05137619693229811
howOftenTrust_Missing,0.0
howOftenTrust_2. Most of the time,0.08971257176705057
howOftenTrust_3. About half the time,0.0
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_Missing,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,-0.20709343853583922
follow_political_info_3. About half the time,0.0069190787182129496
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_Missing,-0.14094986478005755
bisexalFamilyorFriends_1. Yes,0.0
bisexalFamilyorFriends_2. No,0.1271591652551943
blackInfluence_Politics_Missing,0.0
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,0.037526394856096164
blackInfluence_Politics_3. Too little influence,0.05339000704052229
sex_orientation_Missing,-0.14094986478005755
sex_orientation_1. Heterosexual or straight,0.04035947638945493
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
powerDifference_Missing,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.03358378451273443
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,0.0
votingMakedifference_Missing,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_5. Can make a big difference,0.0
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,0.0
satisfactionLife_3. Moderately satisfied,0.024620810063866957
satisfactionLife_4. Slightly satisfied,-0.04346512336909577
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.06946642162607267
living_withFamily_2. No,0.0
satisfactionDemocracy_Missing,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,0.0
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,0.006153410467349945
meetingCommuntySchool_2. No,0.0
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,0.061505276337582605
workedWithcommunity_2. No,-0.016468754029951387
have_healthInsurance_Missing,-0.02909026033568029
have_healthInsurance_1. Yes,0.0
have_healthInsurance_2. No,0.0
authoritarian2_Missing,-0.004882712355473216
authoritarian2_1. Obedience,0.1651564045239508
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,-0.00704115442882953
authoritarian4_Missing,-0.004882712355473216
authoritarian4_1. Independence,0.0
authoritarian4_3. Respect for elders,0.0
authoritarian1_Missing,-0.004882712355473216
authoritarian1_1. Curiosity,-0.07510508985245509
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,0.13488281170844982
authoritarian3_Missing,-0.004655802482499435
authoritarian3_1. Being considerate,-0.033873431344134855
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,0.04440693738254174
VCF0886_Missing,-0.004828031677957456
VCF0886_1.   Increased,0.0
VCF0886_2.   Same,0.0
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
volunteer_Missing,-0.021626776220325
volunteer_1. Yes,0.0
volunteer_2. No,0.057313430120834154
VCF0890_Missing,0.0648307478371789
VCF0890_1.   Increased,0.07784289179637068
VCF0890_2.   Same,-0.22499021854399506
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF0890_8.   DK,0.0
VCF9029_Missing,-0.007692592724693613
VCF9029_1. Close race,0.09383787159550225
VCF9029_3. Win by quite a bit,-0.03956627101599229
VCF9029_8. DK; depends,0.0
approve_president_economy_Missing,0.05338442658448654
approve_president_economy_1. Approve strongly,0.0
approve_president_economy_2. Approve not strongly,-0.5970613534685933
approve_president_economy_4. Disapprove not strongly,0.08645972879620936
approve_president_economy_5. Disapprove strongly,0.04026852626240445
VCF9031_Missing,0.0
VCF9031_1. Yes,-0.24696400308133382
VCF9031_5. No,-0.014853509722134294
approve_pres_strength_Missing,0.13706402270021123
"approve_pres_strength_1. Approve, strongly",0.0
"approve_pres_strength_2. Approve, not strongly",-0.2956691365070749
"approve_pres_strength_3. Disapprove, not strongly",0.0
"approve_pres_strength_4. Disapprove, strongly",-0.025677065538641287
approve_pres_strength_8. DK,0.0
VCF9028_Missing,0.0
VCF9028_1. Democratic Pres. candidate,0.05507269761950769
VCF9028_2. Republican Pres. candidate,-0.10410610541786687
VCF9028_3. Other Pres. candidate,-0.013919909072856987
VCF9028_8. DK,0.07686652180853897
approve_pres_Missing,-0.07124959350433961
approve_pres_1. Approve,-0.07152739491229876
approve_pres_2. Disapprove,0.42569223934797307
approve_pres_8. DK,0.0
ideology7_Missing,0.0
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,0.01930989108379131
ideology7_3. Slightly liberal,0.16951366059813552
"ideology7_4. Moderate, middle of the road",0.0674776431253252
ideology7_5. Slightly conservative,-0.0749335926065667
ideology7_6. Conservative,-0.008420608142836471
ideology7_7. Extremely conservative,0.0
ideology7_9. DK; haven't thought much about it,0.0
VCF0130_Missing,0.2085037385520004
VCF0130_1. Every week (Except 1970: almost every week),-0.37754108837307565
VCF0130_2. Almost every week (no cases in 1970),0.16674489004187792
VCF0130_3. Once or twice a month,-0.09232289024678438
VCF0130_4. A few times a year,0.034815719883936724
VCF0130_5. Never (1990 and later: 'No' in filter),-0.08743107923810944
VCF0130_7. No religious preference (1970-1988),0.0
Will_PresElectionClose_Missing,0.0
Will_PresElectionClose_1. Will win by quite a bit,0.031052519604740113
Will_PresElectionClose_2. Close race,-0.1753416444179139
Will_PresElectionClose_9. DK; pro-con; depends; etc.,0.10096975840290552
VCF9030b_Missing,-0.3747305181458373
"VCF9030b_1. Yes, contact by Democratic party",0.3100917612699424
VCF9030b_2. No contact by Democratic party,0.0
VCF9030c_Missing,-0.3747305181458373
"VCF9030c_1. Yes, contact by Republican party",0.0
VCF9030c_2. No contact by Republican party,0.036717492178814495
VCF9030a_Missing,-0.10188726129634865
"VCF9030a_1. Yes, contact by major party",0.0
VCF9030a_2. No contact by major party,0.012270329098217733
VCF9030_Missing,-0.10188726129634865
"VCF9030_1. Yes, contact: Democratic party",0.0
"VCF9030_2. Yes, contact: Republican party",-0.04826341096730434
"VCF9030_3. Yes, contact: both major parties",0.3442360986577516
"VCF9030_5. Yes, contact: DK which party",0.0
VCF9030_7. No contact,0.012270329098217733
VCF0720_Missing,0.0
VCF0720_1. No,0.015927843904498376
VCF0720_2. Yes,-0.029831248548370055
Family_income_Missing,0.0
Family_income_1. 0 to 16 percentile,-0.12496774862445356
Family_income_2. 17 to 33 percentile,0.1686035736538024
Family_income_3. 34 to 67 percentile,0.0
Family_income_4. 68 to 95 percentile,-0.08813352462264887
Family_income_5. 96 to 100 percentile,0.0
Interest_elections_Missing,0.0
Interest_elections_1. Not much interested,-0.22620042247117075
Interest_elections_2. Somewhat interested,0.03415647364664866
Interest_elections_3. Very much interested,0.0
VCF0721_Missing,0.0
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",0.0
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.0
VCF0719_Missing,0.0
VCF0719_1. No,0.0
VCF0719_2. Yes,0.0
VCF0718_Missing,0.0
VCF0718_1. No,-0.14457630813284647
VCF0718_2. Yes,0.03802540187104404
Party_id3_Missing,0.0
Party_id3_1. Democrats (including leaners),1.1539451603775865
Party_id3_2. Independents,0.0
Party_id3_3. Republicans (including leaners),-1.027872542343456
Party_id7_Missing,0.0
Party_id7_1. Strong Democrat,0.47411417095463626
Party_id7_2. Weak Democrat,0.14441838557800563
Party_id7_3. Independent - Democrat,0.0
Party_id7_4. Independent - Independent,0.0
Party_id7_5. Independent - Republican,0.0
Party_id7_6. Weak Republican,-0.06522719726583733
Party_id7_7. Strong Republican,-0.2526562845167454
education6_Missing,0.0
education6_1. 8 grades or less ('grade school'),-0.047656137014049235
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.0
"education6_3. 12 grades, diploma or equivalency",0.22175531409190175
"education6_4. 12 grades, diploma or equivalency plus non-academic",-0.14630684381039843
"education6_5. Some college, no degree; junior/community college",0.05294374446433418
education6_6. BA level degrees; advanced degrees incl. LLB,-0.013111084339727316
education7_Missing,0.0
education7_1. 8 grades or less ('grade school'),-0.047656137014049235
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.0
"education7_3. 12 grades, diploma or equivalency",0.22175531409190175
"education7_4. 12 grades, diploma or equivalency plus non-academic",-0.14630684381039843
"education7_5. Some college, no degree; junior/community college",0.05294374446433418
education7_6. BA level degrees,0.0
education7_7. Advanced degrees incl. LLB,0.0
VCF0717_Missing,0.0
VCF0717_1. No,-0.1421279065553046
VCF0717_2. Yes,0.07263520661975098
South_2. Nonsouth,0.0
"region_3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC",0.0
Education4_Missing,0.0
Education4_1. Grade school or less (0-8 grades); 2020: less than high school credential,-0.06623937164520291
"Education4_2. High school (12 grades or fewer, incl. non-college",0.08983908323556598
Education4_3. Some college (13 grades or more but no degree;,0.006316460837778412
Education4_4. College or advanced degree (no cases 1948),-0.013111084339727316
Race4_1. White non-Hispanic,0.023176774498060642
Race4_2. Black non-Hispanic,0.0
Race4_3. Hispanic,0.0
"Race4_4. Other or multiple races, non-Hispanic",-0.17668271434789545
Race3_1. White non-Hispanic,0.023176774498060642
Race3_2. Black non-Hispanic,0.0
Race3_3. Other,-0.20377853575597582
Race7_1. White non-Hispanic (1948-2012),0.023176774498060642
Race7_2. Black non-Hispanic (1948-2012),0.0
Race7_4. American Indian or Alaska Native non-Hispanic (1966-2012),0.0
Race7_5. Hispanic (1966-2012),0.0
"Race7_6. Other or multiple races, non-Hispanic (1968-2012)",-0.17668271434789545
religion_Missing,0.0
religion_1. Protestant,-0.34113289654576345
religion_2. Catholic [Roman Catholic],0.16178697972584136
religion_3. Jewish,0.0
religion_4. Other and none (also includes DK preference),0.0
Gender_1. Male,0.03018226946366957
Gender_2. Female,-0.10850901822159871
