feature,importance
Party_id3_1. Democrats (including leaners),1.058611005149066
Interest_elections_3. Very much interested,0.8622591207004688
therm_Christians,0.7844216260644963
therm_DemParty,0.6893500131796545
approve_president_economy_5. Disapprove strongly,0.546192490877994
religion_2. Catholic [Roman Catholic],0.393078996209259
therm_hispanics,0.26733844272485296
VCF0130_4. A few times a year,0.2641598903068011
Family_income_4. 68 to 95 percentile,0.2595776114141471
therm_liberals,0.2380115521875552
Party_id7_2. Weak Democrat,0.21259038969307711
approve_pres_2. Disapprove,0.19388494068681278
education7_7. Advanced degrees incl. LLB,0.17547173599701632
authoritarian2_1. Obedience,0.1717360825786897
VCF9028_1. Democratic Pres. candidate,0.1284576080961392
