feature,importance
therm_Christians,-0.08242139969302933
therm_Mislims,0.2743714795424993
therm_ChrFundament,-0.24576857095258392
therm_hispanics,0.03370955420199825
therm_RepParty,-0.925144174030492
therm_DemParty,0.8999078829061655
therm_Whites,-0.0051150934655354
therm_liberals,0.474633606045046
therm_conservatives,-0.4398422031304978
therm_Blacks,0.0961157570412217
Age,-0.033225514639437785
howOftenTrust_1. Always,-0.4697001116615261
howOftenTrust_2. Most of the time,0.08981234787596513
howOftenTrust_3. About half the time,-0.07091632481090834
howOftenTrust_4. Once in a while,0.12343221394670731
howOftenTrust_5. Never,-0.006310016150747957
follow_political_info_1. Always,0.1761857548660076
follow_political_info_2. Most of the time,0.03904584017083734
follow_political_info_3. About half the time,-0.14940307920042897
follow_political_info_4. Some of the time,-0.040142808218345004
follow_political_info_5. Never,0.49410453970651613
bisexalFamilyorFriends_1. Yes,0.01077934469854639
bisexalFamilyorFriends_2. No,-0.04724713936928267
blackInfluence_Politics_1. Too much influence,-0.4950275713854787
blackInfluence_Politics_2. Just about the right amount,0.023282234165467843
blackInfluence_Politics_3. Too little influence,0.7022081711334989
sex_orientation_1. Heterosexual or straight,-0.07423888565108545
sex_orientation_2. Bisexual,-0.2846074596618141
sex_orientation_3. Homosexual or gay (or lesbian),0.7629926532908007
sex_orientation_unmatched category,-0.02560886802493817
powerDifference_1. It doesn't make a difference who is in power,-0.05488155627863027
powerDifference_unmatched category,0.1508933175838736
powerDifference_unmatched category,0.12486650223163202
powerDifference_unmatched category,-0.15268426101481497
powerDifference_5. It makes a big difference who is in power,-0.12848477578458345
votingMakedifference_1. Won't make a difference,-0.11715945740341152
votingMakedifference_unmatched category,-0.24632120574892116
votingMakedifference_unmatched category,0.012471984469499885
votingMakedifference_unmatched category,0.22957727792997645
votingMakedifference_5. Can make a big difference,0.3258232467393628
satisfactionLife_1. Extremely satisfied,0.23873804907523377
satisfactionLife_2. Very satisfied,0.00290550855217475
satisfactionLife_3. Moderately satisfied,-0.006260234837495331
satisfactionLife_4. Slightly satisfied,-0.02335095358449047
satisfactionLife_5. Not satisfied at all,0.03907011995531411
living_withFamily_1. Yes,0.051540677004054555
living_withFamily_2. No,-0.1590005517191282
satisfactionDemocracy_1. Very satisfied,0.23395192133248205
satisfactionDemocracy_2. Fairly satisfied,0.020189236118436264
satisfactionDemocracy_3. Not very satisfied,-0.07278892776987703
satisfactionDemocracy_4. Not at all satisfied,-0.6138156428233595
