feature,importance
therm_DemParty,0.4330562104544745
therm_Whites,0.19986326262832804
therm_Blacks,0.15622648256440402
therm_hispanics,0.09524651557414612
therm_liberals,0.09263735485964049
Year,0.050496742606916986
therm_Christians,0.009873788847589379
VCF0718_1. No,0.0
VCF0719_1. No,0.0
Party_id3_1. Democrats (including leaners),0.0
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.0
"VCF9030_3. Yes, contact: both major parties",0.0
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",0.0
Interest_elections_3. Very much interested,0.0
Interest_elections_2. Somewhat interested,0.0
