feature,importance
therm_Christians,-0.309430654828642
therm_Mislims,-0.33727481654171976
therm_ChrFundament,-0.08163310127688375
therm_hispanics,-0.10007813835224222
therm_RepParty,-1.5404192707490139
therm_DemParty,1.1657610756726289
therm_Whites,-0.1285130656331852
therm_liberals,1.071685705955247
therm_conservatives,-0.26060916903631065
therm_Blacks,0.10328317738734479
Age,0.10116644133523756
Year,0.5256458843765054
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,0.6352906399313681
howOftenTrust_3. About half the time,0.0
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,-0.2753507211843365
follow_political_info_1. Always,0.0053192997934142505
follow_political_info_2. Most of the time,0.033323566930688914
follow_political_info_3. About half the time,-0.01860179400738951
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_1. Yes,-0.10526489703049194
bisexalFamilyorFriends_2. No,0.03888078991733636
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,-0.5129696467111476
blackInfluence_Politics_3. Too little influence,0.5661538760620923
sex_orientation_1. Heterosexual or straight,-0.0009086778793746019
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_1. It doesn't make a difference who is in power,-0.22088513817052863
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.5038961900338592
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,-0.11928821541062998
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,-0.38763417780203235
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.10174505771520467
votingMakedifference_5. Can make a big difference,0.0
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,-0.02452624555339442
satisfactionLife_3. Moderately satisfied,0.0
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_1. Yes,-0.12431232288959906
living_withFamily_2. No,0.10022229722817869
satisfactionDemocracy_1. Very satisfied,-0.31709074248737135
satisfactionDemocracy_2. Fairly satisfied,0.0
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_1. Yes,0.13492095680954813
meetingCommuntySchool_2. No,-0.2898066350395807
workedWithcommunity_1. Yes,0.027565426324213264
workedWithcommunity_2. No,-0.05858944656093675
have_healthInsurance_1. Yes,-0.06211364236577906
have_healthInsurance_2. No,-0.202809354025409
authoritarian2_1. Obedience,0.0
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,-0.2290374625018674
authoritarian4_1. Independence,-0.3270402194054543
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,-0.02731995993894849
authoritarian1_1. Curiosity,0.04439457784601436
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,-0.14056277100417203
authoritarian3_1. Being considerate,0.11941201092004539
authoritarian3_2. Both (VOL),-0.05088312517003396
authoritarian3_3. Well behaved,-0.11134649312679068
VCF0886_1.   Increased,0.0
VCF0886_2.   Same,0.23815845285185588
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
volunteer_1. Yes,0.0
volunteer_2. No,0.4317075745648702
VCF0890_1.   Increased,-0.0437733192754053
VCF0890_2.   Same,0.0
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF9029_1. Close race,0.013438094952718384
VCF9029_3. Win by quite a bit,0.29309361197721945
approve_president_economy_1. Approve strongly,-0.13657388614081814
approve_president_economy_2. Approve not strongly,-0.07531704266121494
approve_president_economy_4. Disapprove not strongly,0.07621581717492433
approve_president_economy_5. Disapprove strongly,-0.14885338591487565
VCF9031_1. Yes,0.0
VCF9031_5. No,-0.021679716109447054
"approve_pres_strength_1. Approve, strongly",-0.07499591708039403
"approve_pres_strength_2. Approve, not strongly",-0.009047933186764782
"approve_pres_strength_3. Disapprove, not strongly",-0.013105082044520636
"approve_pres_strength_4. Disapprove, strongly",0.0
VCF9028_1. Democratic Pres. candidate,0.25956928068857205
VCF9028_2. Republican Pres. candidate,-0.04947570290629589
VCF9028_3. Other Pres. candidate,0.0
approve_pres_1. Approve,-0.11276220817201302
approve_pres_2. Disapprove,0.0
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,0.11115285938353159
ideology7_3. Slightly liberal,0.04426537672813836
"ideology7_4. Moderate, middle of the road",-0.3854026320049653
ideology7_5. Slightly conservative,0.1475918270608264
ideology7_6. Conservative,0.08712769811931627
ideology7_7. Extremely conservative,0.0
VCF0130_1. Every week (Except 1970: almost every week),-0.05994198887479786
VCF0130_2. Almost every week (no cases in 1970),0.1259044801436202
VCF0130_3. Once or twice a month,0.057954459626779
VCF0130_4. A few times a year,0.35361887483435606
VCF0130_5. Never (1990 and later: 'No' in filter),-0.14263302125913463
VCF0130_7. No religious preference (1970-1988),0.0
Will_PresElectionClose_1. Will win by quite a bit,-0.6315078361433171
Will_PresElectionClose_2. Close race,0.17049803052924725
"VCF9030b_1. Yes, contact by Democratic party",0.12515216672182244
VCF9030b_2. No contact by Democratic party,-0.22884935628297737
"VCF9030c_1. Yes, contact by Republican party",-0.0322970742194417
VCF9030c_2. No contact by Republican party,0.03894706940324518
"VCF9030a_1. Yes, contact by major party",0.0
VCF9030a_2. No contact by major party,0.0
"VCF9030_1. Yes, contact: Democratic party",0.019409896826866908
"VCF9030_2. Yes, contact: Republican party",-0.46387484089730135
"VCF9030_3. Yes, contact: both major parties",0.10123908076445147
"VCF9030_4. Yes, contact: other",0.0
VCF9030_7. No contact,0.0
VCF0720_1. No,0.0
VCF0720_2. Yes,0.05954787250036381
Family_income_1. 0 to 16 percentile,1.2648800764172938
Family_income_2. 17 to 33 percentile,0.40751283289814005
Family_income_3. 34 to 67 percentile,-0.20859423473980243
Family_income_4. 68 to 95 percentile,-0.47482847628422087
Family_income_5. 96 to 100 percentile,-0.16792953461037283
Interest_elections_1. Not much interested,0.4989793257194627
Interest_elections_2. Somewhat interested,-0.18318435455651358
Interest_elections_3. Very much interested,-0.04623167725847259
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.27182539273119805
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.33767438983174414
VCF0719_1. No,-0.5320780841431982
VCF0719_2. Yes,0.24586147436994707
VCF0718_1. No,-0.043074462026038186
VCF0718_2. Yes,0.016165260776572415
Party_id3_1. Democrats (including leaners),1.3988361990591542
Party_id3_2. Independents,-0.16919542891053474
Party_id3_3. Republicans (including leaners),-0.6282853767459647
Party_id7_1. Strong Democrat,0.8437500437128129
Party_id7_2. Weak Democrat,-0.02046457443936975
Party_id7_3. Independent - Democrat,0.15653450815369863
Party_id7_4. Independent - Independent,-0.16919542891053474
Party_id7_5. Independent - Republican,-0.5120054633276421
Party_id7_6. Weak Republican,0.20861996153265672
Party_id7_7. Strong Republican,-0.3063498258327565
education6_1. 8 grades or less ('grade school'),-0.18710312568419182
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.054392471711399645
"education6_3. 12 grades, diploma or equivalency",0.0065585785800610485
"education6_4. 12 grades, diploma or equivalency plus non-academic",-0.13624428090671628
"education6_5. Some college, no degree; junior/community college",0.047600709373518096
education6_6. BA level degrees; advanced degrees incl. LLB,0.10412685289947654
education7_1. 8 grades or less ('grade school'),-0.18710312568419182
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.054392471711399645
"education7_3. 12 grades, diploma or equivalency",0.0065585785800610485
"education7_4. 12 grades, diploma or equivalency plus non-academic",-0.13624428090671628
"education7_5. Some college, no degree; junior/community college",0.047600709373518096
education7_6. BA level degrees,0.001941991504913267
education7_7. Advanced degrees incl. LLB,0.23228574055302165
VCF0717_1. No,-0.10059597089779278
