feature,importance
Party_id3_1. Democrats (including leaners),1.3988361990591542
Family_income_1. 0 to 16 percentile,1.2648800764172938
therm_DemParty,1.1657610756726289
therm_liberals,1.071685705955247
Party_id7_1. Strong Democrat,0.8437500437128129
howOftenTrust_2. Most of the time,0.6352906399313681
blackInfluence_Politics_3. Too little influence,0.5661538760620923
Year,0.5256458843765054
powerDifference_unmatched category,0.5038961900338592
Interest_elections_1. Not much interested,0.4989793257194627
volunteer_2. No,0.4317075745648702
Family_income_2. 17 to 33 percentile,0.40751283289814005
VCF0130_4. A few times a year,0.35361887483435606
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.33767438983174414
VCF9029_3. Win by quite a bit,0.29309361197721945
