feature,importance
therm_Christians,-0.1392535893516676
therm_Mislims,-0.029992799453023782
therm_ChrFundament,-0.0843088172893079
therm_hispanics,0.22927977450602083
therm_RepParty,-0.49319896517834055
therm_DemParty,0.5676304553284041
therm_Whites,0.17749690278394975
therm_liberals,0.1494887973593885
therm_conservatives,-0.5739868085161952
therm_Blacks,-0.19772273258316025
Age,0.19128883236864924
Year,-0.2583691777675218
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,-0.03059263889785922
howOftenTrust_3. About half the time,0.0253559173302771
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,-0.08373820104516957
follow_political_info_3. About half the time,0.024086959274418986
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.12790727279829436
bisexalFamilyorFriends_1. Yes,0.1950332372622578
bisexalFamilyorFriends_2. No,0.0
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,-0.14765342009054747
blackInfluence_Politics_3. Too little influence,0.6143506094097596
sex_orientation_1. Heterosexual or straight,0.017302080152988654
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,0.04757802699661234
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,-0.017021306199335735
votingMakedifference_unmatched category,0.009762511511285665
votingMakedifference_5. Can make a big difference,0.0
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,-0.05902295637910617
satisfactionLife_3. Moderately satisfied,0.2689826215562153
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.004963904418424904
satisfactionDemocracy_1. Very satisfied,0.08392026631707217
satisfactionDemocracy_2. Fairly satisfied,-0.02225776885285373
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_1. Yes,0.021171986864827942
meetingCommuntySchool_2. No,-0.11412300885915257
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,-0.012814175621875876
have_healthInsurance_1. Yes,0.0
have_healthInsurance_2. No,0.0
authoritarian2_1. Obedience,0.0
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.07482905404522398
authoritarian4_1. Independence,0.0
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.019197612297449353
authoritarian1_1. Curiosity,0.02727746998723062
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,0.0
authoritarian3_1. Being considerate,0.06024558821340716
authoritarian3_2. Both (VOL),0.030492391003873066
authoritarian3_3. Well behaved,-0.032939080715392643
VCF0886_1.   Increased,0.26893639751071785
VCF0886_2.   Same,0.045202179649836145
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
volunteer_1. Yes,0.1099332796005869
volunteer_2. No,0.1371387353061379
VCF0890_1.   Increased,0.07989343328405313
VCF0890_2.   Same,0.26166927537601137
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF9029_1. Close race,-0.03600148449417806
VCF9029_3. Win by quite a bit,0.22066873798505915
approve_president_economy_1. Approve strongly,-0.13074848018887203
approve_president_economy_2. Approve not strongly,0.023155362203753187
approve_president_economy_4. Disapprove not strongly,0.1036065963838336
approve_president_economy_5. Disapprove strongly,0.03734277503376371
VCF9031_1. Yes,0.2287347180153668
VCF9031_5. No,0.0
"approve_pres_strength_1. Approve, strongly",0.25996443842177513
"approve_pres_strength_2. Approve, not strongly",-0.14803066500839007
"approve_pres_strength_3. Disapprove, not strongly",0.09493535768567667
"approve_pres_strength_4. Disapprove, strongly",-0.23006668796056146
VCF9028_1. Democratic Pres. candidate,0.9079861705816128
VCF9028_2. Republican Pres. candidate,-1.3058090987192599
VCF9028_3. Other Pres. candidate,0.0
approve_pres_1. Approve,-0.9045877018625218
approve_pres_2. Disapprove,0.9695280988566097
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,-0.29311123908085357
ideology7_3. Slightly liberal,0.0
"ideology7_4. Moderate, middle of the road",0.14635612807115472
ideology7_5. Slightly conservative,-0.038622443899912755
ideology7_6. Conservative,-0.8850844648778322
ideology7_7. Extremely conservative,0.07904050260369191
VCF0130_1. Every week (Except 1970: almost every week),-0.2870289903950659
