feature,importance
Party_id3_1. Democrats (including leaners),1.0839256199816225
approve_pres_2. Disapprove,0.9695280988566097
VCF9028_1. Democratic Pres. candidate,0.9079861705816128
blackInfluence_Politics_3. Too little influence,0.6143506094097596
Party_id7_1. Strong Democrat,0.5680446214483028
therm_DemParty,0.5676304553284041
VCF0130_5. Never (1990 and later: 'No' in filter),0.5248066679482923
VCF0130_3. Once or twice a month,0.41933074966825606
"VCF9030_2. Yes, contact: Republican party",0.3764396057184721
VCF9030b_2. No contact by Democratic party,0.31914911413452385
"Education4_2. High school (12 grades or fewer, incl. non-college",0.2746417125729758
satisfactionLife_3. Moderately satisfied,0.2689826215562153
VCF0886_1.   Increased,0.26893639751071785
VCF0890_2.   Same,0.26166927537601137
"approve_pres_strength_1. Approve, strongly",0.25996443842177513
