feature,importance
therm_DemParty,1.4814600913049192
ideology7_2. Liberal,0.9834740671294776
VCF9028_1. Democratic Pres. candidate,0.9220714670418438
approve_pres_2. Disapprove,0.793544369654314
"approve_pres_strength_2. Approve, not strongly",0.6859059007473111
VCF9031_5. No,0.6787865748960324
ideology7_3. Slightly liberal,0.6758810817110177
therm_liberals,0.5916235709841595
Race4_3. Hispanic,0.572213448546437
Race7_5. Hispanic (1966-2012),0.572213448546437
therm_Mislims,0.442865734925834
Family_income_2. 17 to 33 percentile,0.3321706603629854
Interest_elections_2. Somewhat interested,0.31099988193397177
Age,0.2922917970756711
VCF0130_3. Once or twice a month,0.26902142848750443
