feature,importance
ideology7_5. Slightly conservative,-1.5212481190477565
therm_RepParty,-1.3997459875785818
Party_id3_3. Republicans (including leaners),-0.9981751192113633
Party_id7_7. Strong Republican,-0.8414337369987861
therm_conservatives,-0.648826884469132
ideology7_6. Conservative,-0.6241612381937459
Interest_elections_1. Not much interested,-0.6212950577053502
satisfactionLife_3. Moderately satisfied,-0.5752135879288958
authoritarian3_2. Both (VOL),-0.4890852744084677
bisexalFamilyorFriends_2. No,-0.4062279730386876
VCF9031_1. Yes,-0.3918193987911406
"VCF9030c_1. Yes, contact by Republican party",-0.3760909819769129
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.36659489322383365
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.3087983460980098
have_healthInsurance_1. Yes,-0.298988723940781
