feature,importance
Party_id7_7. Strong Republican,-1.1962322891332582
therm_RepParty,-1.0446012377610665
"approve_pres_strength_3. Disapprove, not strongly",-0.8179467681800332
Party_id3_3. Republicans (including leaners),-0.7029552121820266
religion_1. Protestant,-0.6422803773421955
"Race4_4. Other or multiple races, non-Hispanic",-0.6182602304843968
ideology7_5. Slightly conservative,-0.6015955739618581
satisfactionDemocracy_4. Not at all satisfied,-0.5932966542661128
therm_conservatives,-0.5642469633399443
"approve_pres_strength_4. Disapprove, strongly",-0.5582700021831036
"Race7_6. Other or multiple races, non-Hispanic (1968-2012)",-0.5430715810283091
satisfactionLife_5. Not satisfied at all,-0.508115305979857
Family_income_5. 96 to 100 percentile,-0.49345111098678573
VCF9028_2. Republican Pres. candidate,-0.4756203776973022
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.43776808098626335
