feature,importance
therm_DemParty,1.3535101661938955
Party_id3_1. Democrats (including leaners),1.3329356170002622
therm_liberals,1.092500170114184
VCF9028_1. Democratic Pres. candidate,1.0054398568512393
satisfactionDemocracy_2. Fairly satisfied,0.9325456455164758
ideology7_2. Liberal,0.8007428295395036
Family_income_1. 0 to 16 percentile,0.7454664304525023
bisexalFamilyorFriends_1. Yes,0.6553018523090218
"approve_pres_strength_2. Approve, not strongly",0.6391513333196007
Party_id7_2. Weak Democrat,0.4840061680191636
blackInfluence_Politics_3. Too little influence,0.4675937955681647
satisfactionLife_2. Very satisfied,0.41461453858240693
therm_Mislims,0.35414286778127047
howOftenTrust_4. Once in a while,0.34389410167541007
Party_id7_6. Weak Republican,0.31042379619491794
