feature,importance
Party_id3_3. Republicans (including leaners),-1.5091188395646125
Party_id7_7. Strong Republican,-1.0731514013319068
therm_RepParty,-1.0636666409277342
satisfactionDemocracy_2. Fairly satisfied,-0.753665074414325
satisfactionLife_2. Very satisfied,-0.7307720539642757
votingMakedifference_unmatched category,-0.6895318614573253
therm_conservatives,-0.6627035228238294
howOftenTrust_3. About half the time,-0.5875192213392041
authoritarian2_3. Self-reliance,-0.564668374391184
VCF0130_3. Once or twice a month,-0.5447967741953035
living_withFamily_2. No,-0.5095058870186511
VCF9028_2. Republican Pres. candidate,-0.48741794602877553
powerDifference_unmatched category,-0.4418971616770417
approve_pres_1. Approve,-0.3408731572514657
Party_id7_5. Independent - Republican,-0.31484696741985985
