feature,importance
Party_id7_1. Strong Democrat,1.6276491802561286
therm_DemParty,1.3162946858281692
approve_president_economy_2. Approve not strongly,0.9892550377355042
blackInfluence_Politics_3. Too little influence,0.6599127116213669
therm_Blacks,0.6219807655866854
have_healthInsurance_2. No,0.4998966291962651
authoritarian3_3. Well behaved,0.4709975346239627
Party_id3_1. Democrats (including leaners),0.457340636283624
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.4491590883378353
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.4491590883378353
ideology7_3. Slightly liberal,0.43024952243564074
VCF9028_1. Democratic Pres. candidate,0.4056691646795813
authoritarian1_1. Curiosity,0.365444775508777
therm_liberals,0.36342936415038896
"approve_pres_strength_4. Disapprove, strongly",0.34880648713481494
