feature,importance
therm_DemParty,1.265392242086177
therm_liberals,0.9191328448678444
Party_id3_1. Democrats (including leaners),0.1587351984193593
Year,0.09240911198591129
VCF0130_5. Never (1990 and later: 'No' in filter),0.07115041225909549
VCF0886_1.   Increased,0.048487766560747825
Family_income_3. 34 to 67 percentile,0.04752815876774088
VCF9028_1. Democratic Pres. candidate,0.04407610598773517
VCF9029_3. Win by quite a bit,0.04219524538678726
volunteer_2. No,0.036618064966248524
Age,0.03636000504550606
therm_Mislims,0.03593200814376056
VCF0890_1.   Increased,0.0250412783298724
satisfactionDemocracy_2. Fairly satisfied,0.021063086368224883
therm_Blacks,0.020339240568055025
