feature,importance
therm_Christians,0.17344964110297878
therm_Mislims,0.14465693735816948
therm_ChrFundament,-0.3035119827235432
therm_hispanics,0.5215448666184116
therm_RepParty,-1.08139750494625
therm_DemParty,0.6323218662798602
therm_Whites,-0.1060748280063096
therm_liberals,0.2676340210698211
therm_conservatives,-0.6143752673438353
therm_Blacks,0.13574828700085267
Age,0.026674096098641003
Year,0.07570469618632056
howOftenTrust_Missing,0.0
howOftenTrust_2. Most of the time,0.0
howOftenTrust_3. About half the time,0.0
howOftenTrust_4. Once in a while,0.14433572971928363
howOftenTrust_5. Never,0.0
follow_political_info_Missing,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,0.0
follow_political_info_3. About half the time,0.0
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.22474816858396712
bisexalFamilyorFriends_Missing,0.0
bisexalFamilyorFriends_1. Yes,0.0
bisexalFamilyorFriends_2. No,0.0
blackInfluence_Politics_Missing,-0.0028761248156435252
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,0.0
blackInfluence_Politics_3. Too little influence,0.5140944741573994
sex_orientation_Missing,0.0
sex_orientation_1. Heterosexual or straight,0.22479178548570458
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_Missing,-0.06070415349377957
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.14855457032290503
powerDifference_unmatched category,0.0013106533637195653
powerDifference_5. It makes a big difference who is in power,0.0
votingMakedifference_Missing,-0.06070415349377957
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.08669299686389198
votingMakedifference_5. Can make a big difference,-0.019407865461716852
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,0.08047301689081304
satisfactionLife_2. Very satisfied,0.0
satisfactionLife_3. Moderately satisfied,0.2710928992794539
satisfactionLife_4. Slightly satisfied,-0.00980887335452275
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.00967533250370575
satisfactionDemocracy_Missing,-0.00020405173690577014
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,0.0
satisfactionDemocracy_3. Not very satisfied,0.4123592342878015
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,-0.01871095469763398
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,0.0
have_healthInsurance_Missing,0.012008714223095816
have_healthInsurance_1. Yes,-0.13834320997944846
have_healthInsurance_2. No,0.060087623524623865
authoritarian2_Missing,0.017309538062392948
authoritarian2_1. Obedience,0.07475754999598541
authoritarian2_2. Both (VOL),-0.13288094917538215
authoritarian2_3. Self-reliance,0.0
authoritarian4_Missing,0.017309538062392948
authoritarian4_1. Independence,0.0
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,-0.003029831136039424
authoritarian1_Missing,0.017309538062392948
authoritarian1_1. Curiosity,-0.039028273384664885
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,0.02756479514931449
authoritarian3_Missing,0.017309538062392948
authoritarian3_1. Being considerate,-0.15889639461452915
authoritarian3_2. Both (VOL),-0.02086751420973022
authoritarian3_3. Well behaved,0.46214388870175416
VCF0886_Missing,0.03897309940316148
VCF0886_1.   Increased,0.01107944521804916
VCF0886_2.   Same,-0.04488370210313519
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
VCF0886_8.   DK,0.0
volunteer_Missing,0.2331109425655674
volunteer_1. Yes,-0.3613198459705024
volunteer_2. No,0.023813939285566882
VCF0890_Missing,-0.25660973556891503
VCF0890_1.   Increased,0.9158292438514085
VCF0890_2.   Same,-0.014728824429402506
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF9029_Missing,-0.0004921685679567722
VCF9029_1. Close race,-0.005043222759139118
VCF9029_3. Win by quite a bit,0.2954268428368956
VCF9029_8. DK; depends,-0.0999738250809955
approve_president_economy_Missing,-0.07897250322782369
approve_president_economy_1. Approve strongly,-0.03227648508853237
approve_president_economy_2. Approve not strongly,0.0
approve_president_economy_4. Disapprove not strongly,0.14440565702314695
approve_president_economy_5. Disapprove strongly,0.35190839409425356
approve_president_economy_8. DK if approve/disapprove strongly or not strongly;,0.0
VCF9031_Missing,0.08702364840113705
VCF9031_1. Yes,0.0
VCF9031_5. No,-0.012179866926122584
approve_pres_strength_Missing,-0.04363077304431075
"approve_pres_strength_1. Approve, strongly",0.0
"approve_pres_strength_2. Approve, not strongly",0.031234525231620753
"approve_pres_strength_3. Disapprove, not strongly",0.0
"approve_pres_strength_4. Disapprove, strongly",0.10686732576645437
approve_pres_strength_8. DK,-0.001538512959303404
VCF9028_Missing,0.04374763515348122
VCF9028_1. Democratic Pres. candidate,0.6373957314111436
VCF9028_2. Republican Pres. candidate,-0.5978584229019097
VCF9028_3. Other Pres. candidate,0.0
VCF9028_8. DK,-0.04098492565775075
approve_pres_Missing,-0.035098795847945424
approve_pres_1. Approve,0.03159311168610425
approve_pres_2. Disapprove,0.5074556007400554
approve_pres_8. DK,-0.01689256967686805
ideology7_Missing,0.42318152622899036
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,0.003716479662525261
ideology7_3. Slightly liberal,-0.49808551339586593
"ideology7_4. Moderate, middle of the road",0.2825253416773677
ideology7_5. Slightly conservative,-0.1082619292980976
ideology7_6. Conservative,-0.4034884196276775
ideology7_7. Extremely conservative,-0.014834640528499523
ideology7_9. DK; haven't thought much about it,0.2891669747097481
VCF0130_Missing,-0.1729766720869494
VCF0130_1. Every week (Except 1970: almost every week),0.08247891922226518
