feature,importance
Party_id3_3. Republicans (including leaners),-1.427150492454696
Family_income_2. 17 to 33 percentile,-1.153319481648287
therm_RepParty,-1.08139750494625
Party_id7_7. Strong Republican,-0.8502777026576382
therm_conservatives,-0.6143752673438353
VCF9028_2. Republican Pres. candidate,-0.5978584229019097
ideology7_3. Slightly liberal,-0.49808551339586593
Race7_1. White non-Hispanic (1948-2012),-0.4790286522485709
Race3_1. White non-Hispanic,-0.4790286522485709
Race4_1. White non-Hispanic,-0.4790286522485709
ideology7_6. Conservative,-0.4034884196276775
Party_id3_2. Independents,-0.37463775827048235
Party_id7_4. Independent - Independent,-0.37463775827048235
volunteer_1. Yes,-0.3613198459705024
VCF0718_1. No,-0.3351390123310617
