feature,importance
Party_id3_1. Democrats (including leaners),1.1224875225390287
therm_liberals,1.1093272071893008
therm_DemParty,1.0179480499488156
authoritarian2_3. Self-reliance,0.6279085019069874
Party_id7_1. Strong Democrat,0.5570066656573491
blackInfluence_Politics_3. Too little influence,0.47245806651195094
"approve_pres_strength_4. Disapprove, strongly",0.3668777914446724
VCF9029_1. Close race,0.3132531182897129
therm_Blacks,0.28238486703256205
VCF0717_1. No,0.2727214666218724
"VCF9030a_1. Yes, contact by major party",0.22606008276094353
have_healthInsurance_1. Yes,0.20871302785066298
authoritarian4_1. Independence,0.18744945360543505
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.18376941759194537
"VCF9030b_1. Yes, contact by Democratic party",0.1539520446468923
