feature,importance
therm_Christians,-0.408341275061601
therm_Mislims,0.2869646848804296
therm_ChrFundament,0.0783948988602309
therm_hispanics,0.3307315180440122
therm_RepParty,-0.855470185286881
therm_DemParty,0.732708916648679
therm_Whites,0.011282402983166394
therm_liberals,0.47791386877636255
therm_conservatives,-0.7907941791317815
therm_Blacks,0.08333509587606187
Age,-0.15317288914867172
Year,0.5718851730304617
howOftenTrust_Missing,0.0
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,0.12070388295754234
howOftenTrust_3. About half the time,-0.6923492273330116
howOftenTrust_4. Once in a while,0.07972057095896115
howOftenTrust_5. Never,-0.009959687099574751
follow_political_info_Missing,0.13389732203887672
follow_political_info_1. Always,-0.015006919888388186
follow_political_info_2. Most of the time,0.30373309473976
follow_political_info_3. About half the time,-0.32575480668528317
follow_political_info_4. Some of the time,-0.27643953830356877
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_Missing,0.0
bisexalFamilyorFriends_1. Yes,-0.26815962349213623
bisexalFamilyorFriends_2. No,0.19153234669150127
blackInfluence_Politics_Missing,0.0
blackInfluence_Politics_1. Too much influence,0.0266725711460954
blackInfluence_Politics_2. Just about the right amount,-0.06706157870697393
blackInfluence_Politics_3. Too little influence,0.06614497513824719
sex_orientation_Missing,0.0
sex_orientation_1. Heterosexual or straight,0.0
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),-0.027696069376621557
sex_orientation_unmatched category,0.0
powerDifference_Missing,-0.01751461897918898
powerDifference_1. It doesn't make a difference who is in power,-0.04568466897115945
powerDifference_unmatched category,0.5434955132715927
powerDifference_unmatched category,-0.42593490300946346
powerDifference_unmatched category,0.20114075322188657
powerDifference_5. It makes a big difference who is in power,0.0
votingMakedifference_Missing,0.0
votingMakedifference_1. Won't make a difference,-0.40956750234470174
votingMakedifference_unmatched category,-0.023091019712629106
votingMakedifference_unmatched category,0.30905254936670873
votingMakedifference_unmatched category,0.3067263930228396
votingMakedifference_5. Can make a big difference,0.0386875869548725
satisfactionLife_Missing,0.0527044949109859
satisfactionLife_1. Extremely satisfied,1.0139343277865662
satisfactionLife_2. Very satisfied,-0.34962946860873
satisfactionLife_3. Moderately satisfied,0.06627796472319655
satisfactionLife_4. Slightly satisfied,-0.4155877737539712
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_Missing,0.0
living_withFamily_1. Yes,-0.03097605252133443
living_withFamily_2. No,0.21199383477583544
satisfactionDemocracy_Missing,0.01172929839219053
satisfactionDemocracy_1. Very satisfied,0.05581009859467356
satisfactionDemocracy_2. Fairly satisfied,0.0
satisfactionDemocracy_3. Not very satisfied,-0.12780426966749164
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.02392878931427938
meetingCommuntySchool_1. Yes,0.2723014403784439
meetingCommuntySchool_2. No,-0.5235750997278412
workedWithcommunity_Missing,0.02392878931427938
workedWithcommunity_1. Yes,-0.06649755493358024
workedWithcommunity_2. No,0.0459761829869277
have_healthInsurance_Missing,0.02026211909017009
have_healthInsurance_1. Yes,-0.13585553058361755
have_healthInsurance_2. No,0.0
authoritarian2_Missing,-0.05213557390412563
authoritarian2_1. Obedience,0.7882365417039681
authoritarian2_2. Both (VOL),-0.05289942101957211
authoritarian2_3. Self-reliance,-0.06023787012355788
authoritarian4_Missing,-0.014646459023417015
authoritarian4_1. Independence,0.4291670525748743
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,-0.0018048386274279182
authoritarian1_Missing,-0.013962145399694042
authoritarian1_1. Curiosity,0.38234877464784284
authoritarian1_2. Both (VOL),-0.04396948769859472
authoritarian1_3. Good manners,0.0
authoritarian3_Missing,-0.040460719196766595
authoritarian3_1. Being considerate,0.12037437649952794
authoritarian3_2. Both (VOL),0.08762721190926488
authoritarian3_3. Well behaved,-0.07679078752978549
VCF0886_Missing,0.0
VCF0886_1.   Increased,0.1071456249730065
VCF0886_2.   Same,0.002515252198447135
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.09276849178765748
VCF0886_8.   DK,-0.5734083186720362
volunteer_Missing,0.258061621653469
volunteer_1. Yes,-0.2928220865527275
volunteer_2. No,0.0
VCF0890_Missing,-0.20442839290706916
VCF0890_1.   Increased,0.30385181578970577
