feature,importance
Party_id3_3. Republicans (including leaners),-1.2368174149684066
Party_id7_7. Strong Republican,-1.2258021377621617
therm_RepParty,-0.855470185286881
therm_conservatives,-0.7907941791317815
"approve_pres_strength_3. Disapprove, not strongly",-0.714900060476474
howOftenTrust_3. About half the time,-0.6923492273330116
VCF9029_3. Win by quite a bit,-0.5534765608735963
VCF0130_1. Every week (Except 1970: almost every week),-0.537908928075206
meetingCommuntySchool_2. No,-0.5235750997278412
"VCF9030_4. Yes, contact: other",-0.5173468943125565
VCF9028_2. Republican Pres. candidate,-0.501911701918724
approve_pres_1. Approve,-0.4773466834592625
ideology7_6. Conservative,-0.45725515985622645
powerDifference_unmatched category,-0.42593490300946346
satisfactionLife_4. Slightly satisfied,-0.4155877737539712
