feature,importance
therm_DemParty,1.6040256064617566
VCF9028_1. Democratic Pres. candidate,1.407566136037489
satisfactionDemocracy_1. Very satisfied,1.1089986951234614
Party_id3_1. Democrats (including leaners),0.8990431187404303
howOftenTrust_2. Most of the time,0.7354348663551652
Party_id7_1. Strong Democrat,0.6518903879406281
VCF0886_1.   Increased,0.553343870087292
Education4_1. Grade school or less (0-8 grades); 2020: less than high school credential,0.4790659060632406
bisexalFamilyorFriends_1. Yes,0.4713637807508445
votingMakedifference_unmatched category,0.4098904656402337
therm_liberals,0.4077008730953245
Race7_2. Black non-Hispanic (1948-2012),0.37300056817169985
Race4_2. Black non-Hispanic,0.37300056817169985
Race3_2. Black non-Hispanic,0.37300056817169985
powerDifference_unmatched category,0.3692509548416428
