feature,importance
blackInfluence_Politics_2. Just about the right amount,-0.8947703064179275
therm_RepParty,-0.8228671498609076
Race7_1. White non-Hispanic (1948-2012),-0.650800326264671
Race4_1. White non-Hispanic,-0.650800326264671
Race3_1. White non-Hispanic,-0.650800326264671
VCF0130_1. Every week (Except 1970: almost every week),-0.6005159980865027
VCF9028_2. Republican Pres. candidate,-0.5905940280480835
Family_income_1. 0 to 16 percentile,-0.5891356355873537
satisfactionDemocracy_4. Not at all satisfied,-0.5514417877654303
ideology7_6. Conservative,-0.5396070621964947
authoritarian2_1. Obedience,-0.5320497726169151
therm_Christians,-0.5045128606393648
VCF9029_1. Close race,-0.45391336263471
VCF0718_2. Yes,-0.393294217126728
education7_6. BA level degrees,-0.3371339435482357
