feature,importance
Party_id3_3. Republicans (including leaners),-1.5597280756272962
therm_RepParty,-1.442466231248747
VCF9028_2. Republican Pres. candidate,-1.0589793448221898
"approve_pres_strength_4. Disapprove, strongly",-0.9690141958162531
VCF0130_2. Almost every week (no cases in 1970),-0.8327323007722548
ideology7_6. Conservative,-0.7531089731385865
therm_ChrFundament,-0.609492145567033
meetingCommuntySchool_2. No,-0.6085908509871513
therm_conservatives,-0.5368779598713537
education7_1. 8 grades or less ('grade school'),-0.5173836370425613
education6_1. 8 grades or less ('grade school'),-0.5173836370425613
approve_president_economy_5. Disapprove strongly,-0.45419561373045647
VCF0720_2. Yes,-0.45353623564237966
blackInfluence_Politics_1. Too much influence,-0.38838329029442853
Party_id7_5. Independent - Republican,-0.32385732081121754
