feature,importance
Party_id3_1. Democrats (including leaners),1.7374703502852011
VCF0886_1.   Increased,1.2158843929869938
satisfactionLife_2. Very satisfied,1.0674175258198495
therm_DemParty,1.0104658980069101
approve_pres_2. Disapprove,0.8907016890493118
Family_income_2. 17 to 33 percentile,0.8052944269655565
Party_id7_1. Strong Democrat,0.7866683502274419
approve_president_economy_2. Approve not strongly,0.5768684675763803
"education6_3. 12 grades, diploma or equivalency",0.46649926290145627
"education7_3. 12 grades, diploma or equivalency",0.46649926290145627
volunteer_2. No,0.45512820277486155
Will_PresElectionClose_2. Close race,0.4259390779627945
Year,0.3971413580105546
therm_liberals,0.3658086045682834
religion_3. Jewish,0.3524010467640198
