feature,importance
therm_DemParty,0.8473719841675724
Party_id3_1. Democrats (including leaners),0.7499755262611847
therm_Mislims,0.6580524859817348
therm_liberals,0.44857375311428144
blackInfluence_Politics_3. Too little influence,0.4474603349273588
VCF0886_1.   Increased,0.18919584547294047
Party_id7_1. Strong Democrat,0.08742680408447992
follow_political_info_2. Most of the time,0.08618103473132484
approve_president_economy_2. Approve not strongly,0.081404699216818
howOftenTrust_2. Most of the time,0.07017826294884587
Gender_1. Male,0.05834927437498051
VCF9029_3. Win by quite a bit,0.03287598442865777
votingMakedifference_unmatched category,0.03214497544166071
therm_hispanics,0.030793418042758668
authoritarian4_1. Independence,0.026481394705649676
