feature,importance
Party_id7_1. Strong Democrat,1.2872703411872783
Party_id3_1. Democrats (including leaners),1.1779160684313492
"approve_pres_strength_2. Approve, not strongly",0.7783928283111671
therm_DemParty,0.7201890330363769
follow_political_info_3. About half the time,0.7159059348364073
approve_pres_2. Disapprove,0.7013147371460736
VCF9028_1. Democratic Pres. candidate,0.5335172735504866
votingMakedifference_5. Can make a big difference,0.507424966389943
therm_liberals,0.4941974154396158
VCF0719_1. No,0.4483169259105149
authoritarian2_3. Self-reliance,0.4372620055901086
ideology7_3. Slightly liberal,0.4346908922738524
living_withFamily_2. No,0.3956314679701375
VCF0130_4. A few times a year,0.38555722039016826
Year,0.3754601703627524
