feature,importance
therm_Christians,-0.6173378042002365
therm_Mislims,0.523810338787788
therm_ChrFundament,-0.09502326195749242
therm_hispanics,0.33515922108375346
therm_RepParty,-1.1337050950965313
therm_DemParty,0.546810831227489
therm_Whites,0.34783408351184364
therm_liberals,0.6477921700933879
therm_conservatives,-0.261365381043303
therm_Blacks,-0.25194861933430135
Age,0.134187526420623
Year,0.13628996394798185
howOftenTrust_Missing,0.0
howOftenTrust_2. Most of the time,0.08206533420216215
howOftenTrust_3. About half the time,0.0
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_Missing,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,0.05320434215532952
follow_political_info_3. About half the time,-0.010907655293306926
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_Missing,0.0
bisexalFamilyorFriends_1. Yes,0.16291797033621802
bisexalFamilyorFriends_2. No,-0.001726372546246998
blackInfluence_Politics_Missing,0.0
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,-0.037483560785907234
blackInfluence_Politics_3. Too little influence,0.32695476483363534
sex_orientation_Missing,0.0
sex_orientation_1. Heterosexual or straight,0.0
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
powerDifference_Missing,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.10103004640895015
powerDifference_unmatched category,-0.005794966617044659
powerDifference_5. It makes a big difference who is in power,-0.055051181896578386
votingMakedifference_Missing,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.1552704073695746
votingMakedifference_5. Can make a big difference,-0.10925890147062131
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,-0.040858076275146024
satisfactionLife_2. Very satisfied,0.0
satisfactionLife_3. Moderately satisfied,0.5252825505082501
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.16970543770389673
satisfactionDemocracy_Missing,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,0.0
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,0.0
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,0.0
have_healthInsurance_Missing,-0.0711683218220754
have_healthInsurance_1. Yes,0.22690082488762126
have_healthInsurance_2. No,0.0
authoritarian2_Missing,0.0
authoritarian2_1. Obedience,0.3366794583534956
authoritarian2_3. Self-reliance,-0.045745561721196246
authoritarian2_4. Neither (2020),0.0
authoritarian4_Missing,0.0
authoritarian4_1. Independence,0.0
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.0
authoritarian1_Missing,0.0
authoritarian1_1. Curiosity,-0.012581103863460869
authoritarian1_2. Both (VOL),0.010445638168358657
authoritarian1_3. Good manners,0.01017418248344007
authoritarian3_Missing,0.0
authoritarian3_1. Being considerate,0.0
authoritarian3_2. Both (VOL),0.010445638168358657
authoritarian3_3. Well behaved,0.0
