feature,importance
Party_id7_1. Strong Democrat,1.142958594389201
Party_id3_1. Democrats (including leaners),0.8032865142765088
Family_income_3. 34 to 67 percentile,0.6491423392711121
therm_liberals,0.6477921700933879
therm_DemParty,0.546810831227489
VCF0720_1. No,0.5446600878779733
satisfactionLife_3. Moderately satisfied,0.5252825505082501
therm_Mislims,0.523810338787788
VCF0890_2.   Same,0.3523499024620035
therm_Whites,0.34783408351184364
authoritarian2_1. Obedience,0.3366794583534956
therm_hispanics,0.33515922108375346
blackInfluence_Politics_3. Too little influence,0.32695476483363534
Family_income_2. 17 to 33 percentile,0.3146690191364129
VCF0130_3. Once or twice a month,0.2906430646374783
