feature,importance
therm_RepParty,-1.1337050950965313
VCF9029_3. Win by quite a bit,-0.8958249174924223
Party_id3_3. Republicans (including leaners),-0.8586534822630549
therm_Christians,-0.6173378042002365
Party_id7_7. Strong Republican,-0.5246188091100465
VCF9028_2. Republican Pres. candidate,-0.369491163927474
"VCF9030_2. Yes, contact: Republican party",-0.27303690867365515
ideology7_5. Slightly conservative,-0.2677390768533988
therm_conservatives,-0.261365381043303
Will_PresElectionClose_2. Close race,-0.2611891566131389
VCF0130_2. Almost every week (no cases in 1970),-0.26000987191064684
Family_income_1. 0 to 16 percentile,-0.2580144699850367
therm_Blacks,-0.25194861933430135
VCF0130_1. Every week (Except 1970: almost every week),-0.25162178057001294
"approve_pres_strength_4. Disapprove, strongly",-0.22844775288285155
