feature,importance
therm_DemParty,1.2335520897859182
"approve_pres_strength_2. Approve, not strongly",1.1346776125684557
VCF9028_1. Democratic Pres. candidate,0.99231012961007
Party_id3_1. Democrats (including leaners),0.9517885995221809
Year,0.8570427330013037
therm_liberals,0.7059625126006932
therm_Mislims,0.6848841967576769
"Race7_3. Asian or Pacific Islander, non-Hispanic (1966-2012)",0.6448154466135522
howOftenTrust_5. Never,0.5925319343763441
Race7_2. Black non-Hispanic (1948-2012),0.5912860788387331
Race4_2. Black non-Hispanic,0.5912860788387331
Race3_2. Black non-Hispanic,0.5912860788387331
powerDifference_unmatched category,0.5875910446298601
"VCF9030c_1. Yes, contact by Republican party",0.5577464534707629
have_healthInsurance_1. Yes,0.5315316152283664
