feature,importance
Party_id3_1. Democrats (including leaners),1.4289111541061597
approve_pres_2. Disapprove,1.3767969497117787
VCF9028_1. Democratic Pres. candidate,1.121586247321408
therm_DemParty,1.071208629215438
Party_id7_1. Strong Democrat,1.0068814320468595
Year,0.9146159814094323
authoritarian3_2. Both (VOL),0.7709787236125095
"approve_pres_strength_2. Approve, not strongly",0.7278480944517474
ideology7_2. Liberal,0.6844934815084225
therm_liberals,0.67834075391608
VCF0130_7. No religious preference (1970-1988),0.6381756477151118
authoritarian4_1. Independence,0.5672171040995311
blackInfluence_Politics_3. Too little influence,0.5212419776835744
ideology7_7. Extremely conservative,0.5151046465109234
meetingCommuntySchool_1. Yes,0.4531558801557596
