feature,importance
therm_DemParty,1.2946869589866024
therm_Mislims,1.2378306456156007
Party_id3_1. Democrats (including leaners),0.8831573542066391
Family_income_5. 96 to 100 percentile,0.676406087468515
Will_PresElectionClose_1. Will win by quite a bit,0.6547981999727172
VCF0890_1.   Increased,0.6129255681437127
bisexalFamilyorFriends_2. No,0.5329585656259097
therm_liberals,0.4937669584091785
volunteer_1. Yes,0.4527014298313209
Party_id7_3. Independent - Democrat,0.43619936495404
Interest_elections_3. Very much interested,0.4039178666793748
votingMakedifference_5. Can make a big difference,0.4038250468446957
blackInfluence_Politics_3. Too little influence,0.32378792483130664
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.30936826824659497
ideology7_5. Slightly conservative,0.3009205425112908
