feature,importance
Party_id3_1. Democrats (including leaners),1.4949218156197785
Party_id7_1. Strong Democrat,1.486752060108104
therm_DemParty,1.4323255461748878
therm_hispanics,0.6325239563509288
approve_pres_2. Disapprove,0.613865960870198
ideology7_2. Liberal,0.5791766316590934
VCF9028_1. Democratic Pres. candidate,0.4976487082917306
volunteer_2. No,0.4513239277301138
Party_id7_3. Independent - Democrat,0.44712462322425567
approve_president_economy_2. Approve not strongly,0.41483336352941846
VCF0130_2. Almost every week (no cases in 1970),0.3970629868701795
authoritarian4_1. Independence,0.39003578596315963
therm_liberals,0.38922745296993105
VCF9031_5. No,0.3745933307549263
"approve_pres_strength_3. Disapprove, not strongly",0.34990525841553116
