feature,importance
therm_RepParty,-1.4337264591056427
VCF9028_2. Republican Pres. candidate,-0.8527610602374681
therm_conservatives,-0.7452173446505501
Party_id3_3. Republicans (including leaners),-0.6648458004333303
VCF0721_2. Yes (includes 'tax check-off' in 1976),-0.6347307711681461
therm_ChrFundament,-0.6053690557427834
howOftenTrust_3. About half the time,-0.5614986175512918
approve_pres_1. Approve,-0.48368680695489513
VCF0130_1. Every week (Except 1970: almost every week),-0.4465216301158284
Party_id7_2. Weak Democrat,-0.4431553810888653
"approve_pres_strength_2. Approve, not strongly",-0.38279308492427105
VCF0130_4. A few times a year,-0.3649689933222636
blackInfluence_Politics_2. Just about the right amount,-0.3406261152715955
ideology7_6. Conservative,-0.33708376562039166
ideology7_5. Slightly conservative,-0.33245770807554437
