feature,importance
therm_Christians,-0.05052645151845527
therm_Mislims,0.4002443931077469
therm_ChrFundament,-0.19206588115167345
therm_hispanics,-0.01935934286658262
therm_RepParty,-1.2328887635382233
therm_DemParty,0.6694826227631104
therm_Whites,-0.16960241476852883
therm_liberals,0.4134540973177261
therm_conservatives,-0.4236971169925699
therm_Blacks,0.21007924883093634
Age,0.20666728046612212
Year,0.3226110711241429
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,0.025302066481167545
howOftenTrust_3. About half the time,-0.22168018309092435
howOftenTrust_4. Once in a while,-0.2855952404079546
howOftenTrust_5. Never,0.11144786696290465
follow_political_info_1. Always,0.8324975102544728
follow_political_info_2. Most of the time,0.0
follow_political_info_3. About half the time,-0.5368919045006983
follow_political_info_4. Some of the time,-0.7793892643384902
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_1. Yes,-0.03402739802162779
bisexalFamilyorFriends_2. No,-0.11123719921598929
blackInfluence_Politics_1. Too much influence,-0.50571939066699
blackInfluence_Politics_2. Just about the right amount,-0.07592261325407951
blackInfluence_Politics_3. Too little influence,0.5256227871924077
sex_orientation_1. Heterosexual or straight,-0.2309971690727369
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.6314699427158755
sex_orientation_unmatched category,0.0
powerDifference_1. It doesn't make a difference who is in power,-0.007893788457854479
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.1759109768771665
powerDifference_unmatched category,-0.18015582515141312
powerDifference_5. It makes a big difference who is in power,0.11784063630449453
votingMakedifference_1. Won't make a difference,-0.06914271827254066
votingMakedifference_unmatched category,0.05797205588197137
votingMakedifference_unmatched category,-0.047184006438082945
votingMakedifference_unmatched category,0.07242506474327443
votingMakedifference_5. Can make a big difference,0.018289439204115146
satisfactionLife_1. Extremely satisfied,0.5040543027583014
satisfactionLife_2. Very satisfied,0.3815923454437554
satisfactionLife_3. Moderately satisfied,-0.458650270567125
satisfactionLife_4. Slightly satisfied,-0.0887782258484765
satisfactionLife_5. Not satisfied at all,0.009720769366758912
living_withFamily_1. Yes,-0.320906853699883
living_withFamily_2. No,0.6859072943347029
satisfactionDemocracy_1. Very satisfied,-0.010181462523535766
satisfactionDemocracy_2. Fairly satisfied,0.06988467964343484
satisfactionDemocracy_3. Not very satisfied,-0.18544384710159534
satisfactionDemocracy_4. Not at all satisfied,0.03394775746751082
meetingCommuntySchool_1. Yes,-0.2266563210856356
meetingCommuntySchool_2. No,0.0
workedWithcommunity_1. Yes,-0.06619916848764475
workedWithcommunity_2. No,-0.021931920036217488
have_healthInsurance_1. Yes,0.23099544653756438
have_healthInsurance_2. No,0.09027233707829543
authoritarian2_1. Obedience,0.0
authoritarian2_2. Both (VOL),0.07561321640852055
authoritarian2_3. Self-reliance,-0.05687643641074698
authoritarian4_1. Independence,0.09579530436262482
authoritarian4_2. Both (VOL),0.01253592289489849
authoritarian4_3. Respect for elders,-0.08262328399766515
authoritarian1_1. Curiosity,0.0
authoritarian1_2. Both (VOL),0.39360650955391513
authoritarian1_3. Good manners,-0.08817763268320038
authoritarian3_1. Being considerate,0.09131620349717559
authoritarian3_2. Both (VOL),0.028857927088266604
authoritarian3_3. Well behaved,-0.03616961979527091
VCF0886_1.   Increased,0.11577179483620319
VCF0886_2.   Same,0.07851774047832093
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.12163534871574984
volunteer_1. Yes,0.36683262266935146
volunteer_2. No,0.0
VCF0890_1.   Increased,0.5264121884138573
VCF0890_2.   Same,-0.5439878719634998
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.021271694473818707
VCF9029_1. Close race,0.14750657519677124
VCF9029_3. Win by quite a bit,-0.062108361792735586
approve_president_economy_1. Approve strongly,0.30425651258240377
approve_president_economy_2. Approve not strongly,-0.4961880968551613
approve_president_economy_4. Disapprove not strongly,0.07938876736144365
approve_president_economy_5. Disapprove strongly,-0.5786883273243139
VCF9031_1. Yes,-0.17639310037523576
VCF9031_5. No,-0.058559466595725994
"approve_pres_strength_1. Approve, strongly",0.11872096993240304
"approve_pres_strength_2. Approve, not strongly",0.9405694485716843
"approve_pres_strength_3. Disapprove, not strongly",-0.31512607467048454
"approve_pres_strength_4. Disapprove, strongly",-1.4057745173895044
VCF9028_1. Democratic Pres. candidate,0.8897755571211772
VCF9028_2. Republican Pres. candidate,-0.8849728984436676
VCF9028_3. Other Pres. candidate,0.0
approve_pres_1. Approve,-0.8905566891609956
approve_pres_2. Disapprove,0.9876965687788946
ideology7_1. Extremely liberal,-0.00793502969119355
ideology7_2. Liberal,0.4205152818200767
ideology7_3. Slightly liberal,0.5109450308775044
"ideology7_4. Moderate, middle of the road",-0.03673035915713583
ideology7_5. Slightly conservative,-0.6154563499525519
ideology7_6. Conservative,0.07377196011901191
ideology7_7. Extremely conservative,-0.6516170000500471
VCF0130_1. Every week (Except 1970: almost every week),0.09485310972090721
VCF0130_2. Almost every week (no cases in 1970),-0.23145581433145165
VCF0130_3. Once or twice a month,0.2604813779564732
VCF0130_4. A few times a year,-0.04542102259321294
VCF0130_5. Never (1990 and later: 'No' in filter),-0.21222411341192174
VCF0130_7. No religious preference (1970-1988),-0.17173078091023775
Will_PresElectionClose_1. Will win by quite a bit,-0.10415780415262657
Will_PresElectionClose_2. Close race,0.20202303473097016
"VCF9030b_1. Yes, contact by Democratic party",-0.00795015661434069
VCF9030b_2. No contact by Democratic party,0.04429576386936867
"VCF9030c_1. Yes, contact by Republican party",0.14622861321319414
VCF9030c_2. No contact by Republican party,0.0
"VCF9030a_1. Yes, contact by major party",-0.0960951543151924
VCF9030a_2. No contact by major party,0.29579485529454635
"VCF9030_1. Yes, contact: Democratic party",-0.211761208115658
"VCF9030_2. Yes, contact: Republican party",0.0
"VCF9030_3. Yes, contact: both major parties",0.10546651095425112
"VCF9030_4. Yes, contact: other",0.0
VCF9030_7. No contact,0.29846835777784775
VCF0720_1. No,-0.03494349442897046
VCF0720_2. Yes,0.0884681034142625
Family_income_1. 0 to 16 percentile,-0.26911703110386254
Family_income_2. 17 to 33 percentile,-0.05809778830794338
Family_income_3. 34 to 67 percentile,0.067858870019135
Family_income_4. 68 to 95 percentile,8.799491797445436e-06
Family_income_5. 96 to 100 percentile,0.13397846477101102
Interest_elections_1. Not much interested,0.06896579137844856
Interest_elections_2. Somewhat interested,-0.1357531702265496
Interest_elections_3. Very much interested,0.03997098193739586
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.041082728039081
