feature,importance
Party_id3_1. Democrats (including leaners),1.383696612600898
approve_pres_2. Disapprove,0.9876965687788946
"approve_pres_strength_2. Approve, not strongly",0.9405694485716843
Party_id7_1. Strong Democrat,0.9229977740713176
VCF9028_1. Democratic Pres. candidate,0.8897755571211772
follow_political_info_1. Always,0.8324975102544728
living_withFamily_2. No,0.6859072943347029
therm_DemParty,0.6694826227631104
sex_orientation_3. Homosexual or gay (or lesbian),0.6314699427158755
VCF0890_1.   Increased,0.5264121884138573
blackInfluence_Politics_3. Too little influence,0.5256227871924077
Race4_2. Black non-Hispanic,0.5203774111932943
Race3_2. Black non-Hispanic,0.5203774111932943
Race7_2. Black non-Hispanic (1948-2012),0.5203774111932943
ideology7_3. Slightly liberal,0.5109450308775044
