feature,importance
therm_liberals,1.2674899756239335
therm_DemParty,0.8192548673709338
Party_id3_1. Democrats (including leaners),0.4182733691942267
blackInfluence_Politics_3. Too little influence,0.18538392638616372
therm_hispanics,0.14486974761153526
living_withFamily_1. Yes,0.06268974881500677
"ideology7_4. Moderate, middle of the road",0.052912510616493345
Age,0.0487557955659713
approve_president_economy_2. Approve not strongly,0.04866936495889375
Party_id7_3. Independent - Democrat,0.04597980169820141
therm_Blacks,0.036259596118041595
satisfactionLife_3. Moderately satisfied,0.030989966341083232
therm_Mislims,0.029099483776897073
VCF9029_3. Win by quite a bit,0.016816291139638347
Family_income_4. 68 to 95 percentile,0.011927450400755702
