feature,importance
Party_id3_3. Republicans (including leaners),-1.2614893747596123
therm_RepParty,-1.2601692134067717
blackInfluence_Politics_1. Too much influence,-1.1557168383511163
authoritarian1_3. Good manners,-0.772952114881095
therm_conservatives,-0.6149981470859496
VCF9031_5. No,-0.5583884457730562
therm_hispanics,-0.5478188027290931
votingMakedifference_unmatched category,-0.5228939815206779
VCF0130_4. A few times a year,-0.49475934328252746
howOftenTrust_3. About half the time,-0.3823379785034996
Party_id7_5. Independent - Republican,-0.38112063145544683
Family_income_3. 34 to 67 percentile,-0.3633180068838878
"VCF9030c_1. Yes, contact by Republican party",-0.3451548034340083
VCF9028_2. Republican Pres. candidate,-0.3416648771668753
approve_pres_1. Approve,-0.3075482802558865
