feature,importance
Party_id3_1. Democrats (including leaners),1.5478004287678184
Party_id7_1. Strong Democrat,0.940961888998635
VCF0130_4. A few times a year,0.8571581103837194
Party_id7_2. Weak Democrat,0.8293685467544869
therm_DemParty,0.6913447899649597
Interest_elections_1. Not much interested,0.5973431692102225
blackInfluence_Politics_3. Too little influence,0.44670789667872485
VCF0886_2.   Same,0.34634349212513016
therm_liberals,0.33465995930071124
therm_hispanics,0.3005557055822203
VCF9029_1. Close race,0.27500786558108664
votingMakedifference_unmatched category,0.24846341186332443
authoritarian2_3. Self-reliance,0.24005567609759498
powerDifference_5. It makes a big difference who is in power,0.23668367637183313
ideology7_3. Slightly liberal,0.22942009541221134
